Town,County,Observed|2006,Observed|2011,Observed|2016,Projected|2021,Projected|2026,Projected|2031,Projected|2036,Projected|2006-2011,Projected|2011-2016,Projected|2016-2021,Projected|2021-2026,Projected|2026-2031,Projected|2031-2036,Percent change|2016-2036
Caribou, Aroostook,"8,258","8,122","7,737","7,718","7,688","7,634","7,572",-1.60%,-4.70%,-0.20%,-0.40%,-0.70%,-0.80%,-2.10%
Cary plantation, Aroostook,218,216,206,205,205,204,202,-0.90%,-4.60%,-0.50%,0.00%,-0.50%,-1.00%,-1.90%
Castle Hill, Aroostook,437,421,398,392,387,380,373,-3.70%,-5.50%,-1.50%,-1.30%,-1.80%,-1.80%,-6.30%
Caswell, Aroostook,315,303,292,291,291,291,290,-3.80%,-3.60%,-0.30%,0.00%,0.00%,-0.30%,-0.70%
Central Aroostook UT, Aroostook,110,118,112,111,110,108,107,7.30%,-5.10%,-0.90%,-0.90%,-1.80%,-0.90%,-4.50%
Chapman, Aroostook,468,466,447,448,448,447,445,-0.40%,-4.10%,0.20%,0.00%,-0.20%,-0.40%,-0.40%
Connor UT, Aroostook,448,453,428,423,417,410,403,1.10%,-5.50%,-1.20%,-1.40%,-1.70%,-1.70%,-5.80%
Crystal, Aroostook,280,266,252,249,246,243,239,-5.00%,-5.30%,-1.20%,-1.20%,-1.20%,-1.60%,-5.20%
Cyr plantation, Aroostook,109,102,97,96,95,94,93,-6.40%,-4.90%,-1.00%,-1.00%,-1.10%,-1.10%,-4.10%
Dyer Brook, Aroostook,209,206,195,195,194,192,190,-1.40%,-5.30%,0.00%,-0.50%,-1.00%,-1.00%,-2.60%
Eagle Lake, Aroostook,846,857,806,798,788,774,760,1.30%,-6.00%,-1.00%,-1.30%,-1.80%,-1.80%,-5.70%
Easton, Aroostook,"1,277","1,274","1,208","1,195","1,183","1,167","1,150",-0.20%,-5.20%,-1.10%,-1.00%,-1.40%,-1.50%,-4.80%
Fort Fairfield, Aroostook,"3,539","3,464","3,330","3,352","3,366","3,370","3,369",-2.10%,-3.90%,0.70%,0.40%,0.10%,0.00%,1.20%
Fort Kent, Aroostook,"4,155","4,091","3,946","3,980","4,013","4,034","4,049",-1.50%,-3.50%,0.90%,0.80%,0.50%,0.40%,2.60%
Frenchville, Aroostook,"1,143","1,078","1,023","1,017","1,009",998,986,-5.70%,-5.10%,-0.60%,-0.80%,-1.10%,-1.20%,-3.60%
Garfield plantation, Aroostook,83,80,76,75,75,74,73,-3.60%,-5.00%,-1.30%,0.00%,-1.30%,-1.40%,-3.90%
Grand Isle, Aroostook,489,462,438,434,429,423,417,-5.50%,-5.20%,-0.90%,-1.20%,-1.40%,-1.40%,-4.80%
Hamlin, Aroostook,232,217,206,204,203,201,198,-6.50%,-5.10%,-1.00%,-0.50%,-1.00%,-1.50%,-3.90%
Hammond, Aroostook,111,117,111,109,108,106,104,5.40%,-5.10%,-1.80%,-0.90%,-1.90%,-1.90%,-6.30%
Haynesville, Aroostook,122,120,113,111,110,108,105,-1.60%,-5.80%,-1.80%,-0.90%,-1.80%,-2.80%,-7.10%
Hersey, Aroostook,76,82,78,77,77,76,75,7.90%,-4.90%,-1.30%,0.00%,-1.30%,-1.30%,-3.80%
Hodgdon, Aroostook,"1,282","1,298","1,283","1,318","1,353","1,383","1,412",1.20%,-1.20%,2.70%,2.70%,2.20%,2.10%,10.10%
Houlton, Aroostook,"6,275","6,115","5,854","5,878","5,894","5,891","5,881",-2.50%,-4.30%,0.40%,0.30%,-0.10%,-0.20%,0.50%
Island Falls, Aroostook,823,837,794,789,782,773,764,1.70%,-5.10%,-0.60%,-0.90%,-1.20%,-1.20%,-3.80%
Limestone, Aroostook,"2,324","2,293","2,206","2,213","2,221","2,222","2,220",-1.30%,-3.80%,0.30%,0.40%,0.00%,-0.10%,0.60%
Linneus, Aroostook,952,976,927,918,909,898,886,2.50%,-5.00%,-1.00%,-1.00%,-1.20%,-1.30%,-4.40%
Littleton, Aroostook,"1,027","1,060","1,001",986,972,956,938,3.20%,-5.60%,-1.50%,-1.40%,-1.60%,-1.90%,-6.30%
Ludlow, Aroostook,405,400,380,378,375,371,366,-1.20%,-5.00%,-0.50%,-0.80%,-1.10%,-1.30%,-3.70%
Macwahoc plantation, Aroostook,86,78,74,73,72,71,70,-9.30%,-5.10%,-1.40%,-1.40%,-1.40%,-1.40%,-5.40%
Madawaska, Aroostook,"4,231","4,001","3,814","3,795","3,777","3,747","3,713",-5.40%,-4.70%,-0.50%,-0.50%,-0.80%,-0.90%,-2.60%
Mapleton, Aroostook,"1,931","1,938","1,856","1,856","1,858","1,853","1,846",0.40%,-4.20%,0.00%,0.10%,-0.30%,-0.40%,-0.50%
Mars Hill, Aroostook,"1,492","1,487","1,428","1,430","1,434","1,434","1,432",-0.30%,-4.00%,0.10%,0.30%,0.00%,-0.10%,0.30%
Masardis, Aroostook,250,247,232,228,224,219,214,-1.20%,-6.10%,-1.70%,-1.80%,-2.20%,-2.30%,-7.80%
Merrill, Aroostook,265,272,258,255,253,249,246,2.60%,-5.10%,-1.20%,-0.80%,-1.60%,-1.20%,-4.70%
Monticello, Aroostook,793,786,746,741,735,726,717,-0.90%,-5.10%,-0.70%,-0.80%,-1.20%,-1.20%,-3.90%
Moro plantation, Aroostook,47,38,36,35,35,34,34,-19.10%,-5.30%,-2.80%,0.00%,-2.90%,0.00%,-5.60%
Nashville plantation, Aroostook,47,46,43,43,42,41,40,-2.10%,-6.50%,0.00%,-2.30%,-2.40%,-2.40%,-7.00%
New Canada, Aroostook,315,320,307,309,311,311,312,1.60%,-4.10%,0.70%,0.60%,0.00%,0.30%,1.60%
New Limerick, Aroostook,517,507,479,475,469,463,456,-1.90%,-5.50%,-0.80%,-1.30%,-1.30%,-1.50%,-4.80%
New Sweden, Aroostook,613,600,582,591,599,605,610,-2.10%,-3.00%,1.50%,1.40%,1.00%,0.80%,4.80%
Oakfield, Aroostook,738,730,694,687,682,674,665,-1.10%,-4.90%,-1.00%,-0.70%,-1.20%,-1.30%,-4.20%
Orient, Aroostook,147,146,141,141,142,142,143,-0.70%,-3.40%,0.00%,0.70%,0.00%,0.70%,1.40%
Oxbow plantation, Aroostook,62,65,62,61,61,60,59,4.80%,-4.60%,-1.60%,0.00%,-1.60%,-1.70%,-4.80%
Perham, Aroostook,405,382,367,368,369,369,369,-5.70%,-3.90%,0.30%,0.30%,0.00%,0.00%,0.50%
Portage Lake, Aroostook,389,389,374,375,377,377,377,0.00%,-3.90%,0.30%,0.50%,0.00%,0.00%,0.80%
Presque Isle, Aroostook,"9,645","9,616","9,151","9,080","9,021","8,935","8,839",-0.30%,-4.80%,-0.80%,-0.60%,-1.00%,-1.10%,-3.40%
Reed plantation, Aroostook,179,159,150,147,144,141,138,-11.20%,-5.70%,-2.00%,-2.00%,-2.10%,-2.10%,-8.00%
Sherman, Aroostook,884,838,793,784,775,763,751,-5.20%,-5.40%,-1.10%,-1.10%,-1.50%,-1.60%,-5.30%
Smyrna, Aroostook,433,442,428,434,439,443,446,2.10%,-3.20%,1.40%,1.20%,0.90%,0.70%,4.20%
South Aroostook UT, Aroostook,424,385,365,361,358,353,349,-9.20%,-5.20%,-1.10%,-0.80%,-1.40%,-1.10%,-4.40%
Square Lake UT, Aroostook,604,589,559,554,549,542,535,-2.50%,-5.10%,-0.90%,-0.90%,-1.30%,-1.30%,-4.30%
St. Agatha, Aroostook,770,746,718,727,733,737,740,-3.10%,-3.80%,1.30%,0.80%,0.50%,0.40%,3.10%
St. Francis, Aroostook,521,480,453,446,439,431,423,-7.90%,-5.60%,-1.50%,-1.60%,-1.80%,-1.90%,-6.60%
St. John plantation, Aroostook,274,264,252,252,251,249,247,-3.60%,-4.50%,0.00%,-0.40%,-0.80%,-0.80%,-2.00%
Stockholm, Aroostook,260,251,237,234,232,228,224,-3.50%,-5.60%,-1.30%,-0.90%,-1.70%,-1.80%,-5.50%
Van Buren, Aroostook,"2,357","2,156","2,037","2,021","2,000","1,972","1,943",-8.50%,-5.50%,-0.80%,-1.00%,-1.40%,-1.50%,-4.60%
Wade, Aroostook,272,280,265,262,259,255,251,2.90%,-5.40%,-1.10%,-1.10%,-1.50%,-1.60%,-5.30%
Wallagrass, Aroostook,553,542,528,534,541,547,552,-2.00%,-2.60%,1.10%,1.30%,1.10%,0.90%,4.50%
Washburn, Aroostook,"1,662","1,673","1,579","1,557","1,535","1,508","1,479",0.70%,-5.60%,-1.40%,-1.40%,-1.80%,-1.90%,-6.30%
Westfield, Aroostook,553,546,515,509,503,495,487,-1.30%,-5.70%,-1.20%,-1.20%,-1.60%,-1.60%,-5.40%
Westmanland, Aroostook,64,61,58,58,57,56,56,-4.70%,-4.90%,0.00%,-1.70%,-1.80%,0.00%,-3.40%
Weston, Aroostook,219,226,214,212,210,208,205,3.20%,-5.30%,-0.90%,-0.90%,-1.00%,-1.40%,-4.20%
Winterville plantation, Aroostook,214,222,211,209,208,206,204,3.70%,-5.00%,-0.90%,-0.50%,-1.00%,-1.00%,-3.30%
Woodland, Aroostook,"1,284","1,205","1,156","1,159","1,161","1,160","1,157",-6.20%,-4.10%,0.30%,0.20%,-0.10%,-0.30%,0.10%
Baldwin, Cumberland,"1,442","1,543","1,592","1,628","1,661","1,687","1,706",7.00%,3.20%,2.30%,2.00%,1.60%,1.10%,7.20%
Bridgton, Cumberland,"5,111","5,245","5,366","5,440","5,497","5,531","5,543",2.60%,2.30%,1.40%,1.00%,0.60%,0.20%,3.30%
Brunswick, Cumberland,"20,770","20,288","20,587","20,619","20,620","20,533","20,363",-2.30%,1.50%,0.20%,0.00%,-0.40%,-0.80%,-1.10%
Cape Elizabeth, Cumberland,"9,065","9,041","9,289","9,419","9,538","9,620","9,664",-0.30%,2.70%,1.40%,1.30%,0.90%,0.50%,4.00%
Casco, Cumberland,"3,659","3,753","3,895","3,970","4,049","4,113","4,161",2.60%,3.80%,1.90%,2.00%,1.60%,1.20%,6.80%
Chebeague Island, Cumberland,348,341,352,357,363,367,370,-2.00%,3.20%,1.40%,1.70%,1.10%,0.80%,5.10%
Cumberland, Cumberland,"7,084","7,236","7,786","8,158","8,577","8,969","9,330",2.10%,7.60%,4.80%,5.10%,4.60%,4.00%,19.80%
Falmouth, Cumberland,"10,919","11,283","12,068","12,627","13,235","13,800","14,318",3.30%,7.00%,4.60%,4.80%,4.30%,3.80%,18.60%
Freeport, Cumberland,"7,886","7,931","8,396","8,726","9,064","9,371","9,644",0.60%,5.90%,3.90%,3.90%,3.40%,2.90%,14.90%
Frye Island, Cumberland,3,5,5,5,5,5,5,66.70%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Gorham, Cumberland,"15,661","16,507","17,325","17,852","18,411","18,904","19,329",5.40%,5.00%,3.00%,3.10%,2.70%,2.20%,11.60%
Gray, Cumberland,"7,440","7,805","8,068","8,203","8,346","8,457","8,535",4.90%,3.40%,1.70%,1.70%,1.30%,0.90%,5.80%
Harpswell, Cumberland,"4,940","4,760","4,878","4,939","4,993","5,026","5,040",-3.60%,2.50%,1.30%,1.10%,0.70%,0.30%,3.30%
Harrison, Cumberland,"2,585","2,745","2,786","2,806","2,814","2,811","2,795",6.20%,1.50%,0.70%,0.30%,-0.10%,-0.60%,0.30%
Long Island, Cumberland,221,232,239,244,248,251,253,5.00%,3.00%,2.10%,1.60%,1.20%,0.80%,5.90%
Naples, Cumberland,"3,655","3,891","3,963","3,989","4,007","4,009","3,995",6.50%,1.90%,0.70%,0.50%,0.00%,-0.30%,0.80%
New Gloucester, Cumberland,"5,293","5,562","5,718","5,784","5,852","5,895","5,916",5.10%,2.80%,1.20%,1.20%,0.70%,0.40%,3.50%
North Yarmouth, Cumberland,"3,445","3,583","3,736","3,836","3,935","4,019","4,088",4.00%,4.30%,2.70%,2.60%,2.10%,1.70%,9.40%
Portland, Cumberland,"65,818","66,164","66,892","66,588","66,252","65,628","64,730",0.50%,1.10%,-0.50%,-0.50%,-0.90%,-1.40%,-3.20%
Pownal, Cumberland,"1,484","1,475","1,522","1,546","1,570","1,588","1,600",-0.60%,3.20%,1.60%,1.60%,1.10%,0.80%,5.10%
Raymond, Cumberland,"4,395","4,441","4,502","4,504","4,499","4,475","4,433",1.00%,1.40%,0.00%,-0.10%,-0.50%,-0.90%,-1.50%
Scarborough, Cumberland,"18,282","19,026","19,811","20,239","20,714","21,112","21,430",4.10%,4.10%,2.20%,2.30%,1.90%,1.50%,8.20%
Sebago, Cumberland,"1,613","1,728","1,791","1,821","1,855","1,882","1,902",7.10%,3.60%,1.70%,1.90%,1.50%,1.10%,6.20%
South Portland, Cumberland,"24,508","25,043","25,513","25,699","25,825","25,845","25,761",2.20%,1.90%,0.70%,0.50%,0.10%,-0.30%,1.00%
Standish, Cumberland,"9,712","9,897","10,128","10,232","10,324","10,373","10,382",1.90%,2.30%,1.00%,0.90%,0.50%,0.10%,2.50%
Westbrook, Cumberland,"17,047","17,552","18,317","18,594","18,993","19,320","19,574",3.00%,4.40%,1.50%,2.10%,1.70%,1.30%,6.90%
Windham, Cumberland,"16,308","17,137","17,875","18,335","18,822","19,239","19,585",5.10%,4.30%,2.60%,2.70%,2.20%,1.80%,9.60%
Yarmouth, Cumberland,"8,390","8,385","8,505","8,550","8,565","8,545","8,489",-0.10%,1.40%,0.50%,0.20%,-0.20%,-0.70%,-0.20%
Avon, Franklin,480,459,442,434,429,421,412,-4.40%,-3.70%,-1.80%,-1.20%,-1.90%,-2.10%,-6.80%
Carrabassett Valley, Franklin,642,780,776,788,803,815,824,21.50%,-0.50%,1.50%,1.90%,1.50%,1.10%,6.20%
Carthage, Franklin,550,557,541,533,528,522,513,1.30%,-2.90%,-1.50%,-0.90%,-1.10%,-1.70%,-5.20%
Chesterville, Franklin,"1,301","1,361","1,340","1,350","1,365","1,375","1,378",4.60%,-1.50%,0.70%,1.10%,0.70%,0.20%,2.80%
Coplin plantation, Franklin,157,165,160,157,155,153,150,5.10%,-3.00%,-1.90%,-1.30%,-1.30%,-2.00%,-6.30%
Dallas plantation, Franklin,289,304,294,290,288,284,279,5.20%,-3.30%,-1.40%,-0.70%,-1.40%,-1.80%,-5.10%
East Central Franklin UT, Franklin,770,805,778,766,759,748,734,4.50%,-3.40%,-1.50%,-0.90%,-1.40%,-1.90%,-5.70%
Eustis, Franklin,649,618,612,618,626,632,635,-4.80%,-1.00%,1.00%,1.30%,1.00%,0.50%,3.80%
Farmington, Franklin,"7,707","7,737","7,637","7,618","7,677","7,703","7,694",0.40%,-1.30%,-0.20%,0.80%,0.30%,-0.10%,0.70%
Industry, Franklin,882,926,914,924,935,942,945,5.00%,-1.30%,1.10%,1.20%,0.70%,0.30%,3.40%
Jay, Franklin,"4,938","4,824","4,656","4,576","4,522","4,447","4,354",-2.30%,-3.50%,-1.70%,-1.20%,-1.70%,-2.10%,-6.50%
Kingfield, Franklin,"1,045",994,970,963,962,957,947,-4.90%,-2.40%,-0.70%,-0.10%,-0.50%,-1.00%,-2.40%
New Sharon, Franklin,"1,376","1,415","1,398","1,416","1,438","1,453","1,461",2.80%,-1.20%,1.30%,1.60%,1.00%,0.60%,4.50%
New Vineyard, Franklin,751,772,780,809,841,868,891,2.80%,1.00%,3.70%,4.00%,3.20%,2.60%,14.20%
North Franklin UT, Franklin,54,61,59,58,58,57,56,13.00%,-3.30%,-1.70%,0.00%,-1.70%,-1.80%,-5.10%
Phillips, Franklin,"1,021","1,030","1,013","1,020","1,029","1,034","1,034",0.90%,-1.70%,0.70%,0.90%,0.50%,0.00%,2.10%
Rangeley, Franklin,"1,132","1,178","1,157","1,162","1,172","1,176","1,175",4.10%,-1.80%,0.40%,0.90%,0.30%,-0.10%,1.60%
Rangeley plantation, Franklin,165,188,182,179,177,174,170,13.90%,-3.20%,-1.60%,-1.10%,-1.70%,-2.30%,-6.60%
Sandy River plantation, Franklin,119,133,128,126,125,123,121,11.80%,-3.80%,-1.60%,-0.80%,-1.60%,-1.60%,-5.50%
South Franklin UT, Franklin,70,69,66,64,63,62,60,-1.40%,-4.30%,-3.00%,-1.60%,-1.60%,-3.20%,-9.10%
Strong, Franklin,"1,240","1,206","1,166","1,148","1,136","1,119","1,097",-2.70%,-3.30%,-1.50%,-1.00%,-1.50%,-2.00%,-5.90%
Temple, Franklin,548,535,518,517,517,515,510,-2.40%,-3.20%,-0.20%,0.00%,-0.40%,-1.00%,-1.50%
Weld, Franklin,416,420,416,420,426,431,433,1.00%,-1.00%,1.00%,1.40%,1.20%,0.50%,4.10%
Wilton, Franklin,"4,145","4,106","3,983","3,941","3,917","3,876","3,819",-0.90%,-3.00%,-1.10%,-0.60%,-1.00%,-1.50%,-4.10%
Wyman UT, Franklin,81,88,85,84,83,82,80,8.60%,-3.40%,-1.20%,-1.20%,-1.20%,-2.40%,-5.90%
Amherst, Hancock,255,264,258,252,245,238,229,3.50%,-2.30%,-2.30%,-2.80%,-2.90%,-3.80%,-11.20%
Aurora, Hancock,117,114,112,110,108,105,102,-2.60%,-1.80%,-1.80%,-1.80%,-2.80%,-2.90%,-8.90%
Bar Harbor, Hancock,"5,128","5,251","5,396","5,492","5,601","5,684","5,743",2.40%,2.80%,1.80%,2.00%,1.50%,1.00%,6.40%
Blue Hill, Hancock,"2,603","2,681","2,672","2,637","2,612","2,576","2,530",3.00%,-0.30%,-1.30%,-0.90%,-1.40%,-1.80%,-5.30%
Brooklin, Hancock,839,822,812,803,792,778,761,-2.00%,-1.20%,-1.10%,-1.40%,-1.80%,-2.20%,-6.30%
Brooksville, Hancock,935,932,919,908,894,877,856,-0.30%,-1.40%,-1.20%,-1.50%,-1.90%,-2.40%,-6.90%
Bucksport, Hancock,"5,008","4,934","4,917","4,915","4,897","4,857","4,798",-1.50%,-0.30%,0.00%,-0.40%,-0.80%,-1.20%,-2.40%
Castine, Hancock,"1,348","1,365","1,012",971,929,883,834,1.30%,-25.90%,-4.10%,-4.30%,-5.00%,-5.50%,-17.60%
Central Hancock UT, Hancock,126,117,115,113,111,108,105,-7.10%,-1.70%,-1.70%,-1.80%,-2.70%,-2.80%,-8.70%
Cranberry Isles, Hancock,138,141,138,136,133,130,126,2.20%,-2.10%,-1.40%,-2.20%,-2.30%,-3.10%,-8.70%
Dedham, Hancock,"1,602","1,684","1,678","1,679","1,674","1,662","1,643",5.10%,-0.40%,0.10%,-0.30%,-0.70%,-1.10%,-2.10%
Deer Isle, Hancock,"1,957","1,985","1,938","1,908","1,869","1,823","1,770",1.40%,-2.40%,-1.50%,-2.00%,-2.50%,-2.90%,-8.70%
East Hancock UT, Hancock,87,92,91,90,89,87,85,5.70%,-1.10%,-1.10%,-1.10%,-2.20%,-2.30%,-6.60%
Eastbrook, Hancock,408,423,419,417,414,408,402,3.70%,-0.90%,-0.50%,-0.70%,-1.40%,-1.50%,-4.10%
Ellsworth, Hancock,"7,331","7,768","7,918","8,083","8,216","8,310","8,369",6.00%,1.90%,2.10%,1.60%,1.10%,0.70%,5.70%
Franklin, Hancock,"1,457","1,483","1,507","1,527","1,548","1,561","1,568",1.80%,1.60%,1.30%,1.40%,0.80%,0.40%,4.00%
Frenchboro, Hancock,53,61,60,59,58,56,54,15.10%,-1.60%,-1.70%,-1.70%,-3.40%,-3.60%,-10.00%
Gouldsboro, Hancock,"1,832","1,736","1,750","1,754","1,759","1,756","1,746",-5.20%,0.80%,0.20%,0.30%,-0.20%,-0.60%,-0.20%
Great Pond, Hancock,54,58,56,54,52,50,47,7.40%,-3.40%,-3.60%,-3.70%,-3.80%,-6.00%,-16.10%
Hancock, Hancock,"2,328","2,394","2,397","2,401","2,400","2,388","2,367",2.80%,0.10%,0.20%,0.00%,-0.50%,-0.90%,-1.30%
Lamoine, Hancock,"1,576","1,617","1,653","1,693","1,728","1,755","1,775",2.60%,2.20%,2.40%,2.10%,1.60%,1.10%,7.40%
Mariaville, Hancock,481,516,525,533,541,546,549,7.30%,1.70%,1.50%,1.50%,0.90%,0.50%,4.60%
Mount Desert, Hancock,"2,099","2,057","2,074","2,088","2,100","2,103","2,097",-2.00%,0.80%,0.70%,0.60%,0.10%,-0.30%,1.10%
Orland, Hancock,"2,216","2,220","2,187","2,157","2,123","2,079","2,028",0.20%,-1.50%,-1.40%,-1.60%,-2.10%,-2.50%,-7.30%
Osborn, Hancock,69,67,66,65,64,62,60,-2.90%,-1.50%,-1.50%,-1.50%,-3.10%,-3.20%,-9.10%
Otis, Hancock,627,671,661,653,642,629,614,7.00%,-1.50%,-1.20%,-1.70%,-2.00%,-2.40%,-7.10%
Penobscot, Hancock,"1,304","1,263","1,247","1,235","1,218","1,197","1,171",-3.10%,-1.30%,-1.00%,-1.40%,-1.70%,-2.20%,-6.10%
Sedgwick, Hancock,"1,173","1,194","1,176","1,161","1,143","1,120","1,093",1.80%,-1.50%,-1.30%,-1.60%,-2.00%,-2.40%,-7.10%
Sorrento, Hancock,283,273,270,268,265,260,255,-3.50%,-1.10%,-0.70%,-1.10%,-1.90%,-1.90%,-5.60%
Southwest Harbor, Hancock,"1,861","1,765","1,772","1,777","1,780","1,774","1,762",-5.20%,0.40%,0.30%,0.20%,-0.30%,-0.70%,-0.60%
Stonington, Hancock,"1,097","1,044","1,030","1,020","1,007",989,968,-4.80%,-1.30%,-1.00%,-1.30%,-1.80%,-2.10%,-6.00%
Sullivan, Hancock,"1,231","1,245","1,251","1,256","1,260","1,259","1,253",1.10%,0.50%,0.40%,0.30%,-0.10%,-0.50%,0.20%
Surry, Hancock,"1,443","1,469","1,463","1,458","1,450","1,436","1,417",1.80%,-0.40%,-0.30%,-0.50%,-1.00%,-1.30%,-3.10%
Swans Island, Hancock,334,331,327,324,319,314,307,-0.90%,-1.20%,-0.90%,-1.50%,-1.60%,-2.20%,-6.10%
Tremont, Hancock,"1,567","1,576","1,594","1,623","1,644","1,657","1,664",0.60%,1.10%,1.80%,1.30%,0.80%,0.40%,4.40%
Trenton, Hancock,"1,456","1,497","1,532","1,572","1,607","1,634","1,654",2.80%,2.30%,2.60%,2.20%,1.70%,1.20%,8.00%
Verona, Hancock,544,544,546,548,548,546,543,0.00%,0.40%,0.40%,0.00%,-0.40%,-0.50%,-0.50%
Waltham, Hancock,339,352,343,335,326,316,305,3.80%,-2.60%,-2.30%,-2.70%,-3.10%,-3.50%,-11.10%
Winter Harbor, Hancock,700,515,514,513,511,506,500,-26.40%,-0.20%,-0.20%,-0.40%,-1.00%,-1.20%,-2.70%
Albion, Kennebec,"2,024","2,046","2,066","2,080","2,102","2,119","2,133",1.10%,1.00%,0.70%,1.10%,0.80%,0.70%,3.20%
Augusta, Kennebec,"19,130","18,989","18,537","18,021","17,578","17,100","16,602",-0.70%,-2.40%,-2.80%,-2.50%,-2.70%,-2.90%,-10.40%
Belgrade, Kennebec,"3,143","3,178","3,144","3,099","3,067","3,029","2,987",1.10%,-1.10%,-1.40%,-1.00%,-1.20%,-1.40%,-5.00%
Benton, Kennebec,"2,719","2,711","2,696","2,651","2,626","2,595","2,560",-0.30%,-0.60%,-1.70%,-0.90%,-1.20%,-1.30%,-5.00%
Chelsea, Kennebec,"2,689","2,711","2,695","2,690","2,680","2,665","2,646",0.80%,-0.60%,-0.20%,-0.40%,-0.60%,-0.70%,-1.80%
China, Kennebec,"4,284","4,314","4,258","4,195","4,147","4,090","4,028",0.70%,-1.30%,-1.50%,-1.10%,-1.40%,-1.50%,-5.40%
Clinton, Kennebec,"3,464","3,452","3,355","3,239","3,142","3,038","2,931",-0.30%,-2.80%,-3.50%,-3.00%,-3.30%,-3.50%,-12.60%
Farmingdale, Kennebec,"2,923","2,955","2,904","2,848","2,804","2,755","2,702",1.10%,-1.70%,-1.90%,-1.50%,-1.70%,-1.90%,-7.00%
Fayette, Kennebec,"1,113","1,137","1,146","1,141","1,145","1,147","1,148",2.20%,0.80%,-0.40%,0.40%,0.20%,0.10%,0.20%
Gardiner, Kennebec,"6,006","5,764","5,674","5,553","5,462","5,360","5,252",-4.00%,-1.60%,-2.10%,-1.60%,-1.90%,-2.00%,-7.40%
Hallowell, Kennebec,"2,440","2,369","2,350","2,314","2,294","2,268","2,240",-2.90%,-0.80%,-1.50%,-0.90%,-1.10%,-1.20%,-4.70%
Litchfield, Kennebec,"3,462","3,620","3,613","3,588","3,582","3,569","3,550",4.60%,-0.20%,-0.70%,-0.20%,-0.40%,-0.50%,-1.70%
Manchester, Kennebec,"2,571","2,583","2,554","2,522","2,500","2,472","2,442",0.50%,-1.10%,-1.30%,-0.90%,-1.10%,-1.20%,-4.40%
