EIN,NAME,ICO,STREET,CITY,STATE,ZIP,GROUP,SUBSECTION,AFFILIATION,CLASSIFICATION,RULING,DEDUCTIBILITY,FOUNDATION,ACTIVITY,ORGANIZATION,STATUS,TAX_PERIOD,ASSET_CD,INCOME_CD,FILING_REQ_CD,PF_FILING_REQ_CD,ACCT_PD,ASSET_AMT,INCOME_AMT,REVENUE_AMT,NTEE_CD,SORT_NAME
10153960,LINCOLNHEALTH,,35 MILES ST,DAMARISCOTTA,ME,04543-4047,0,3,3,1000,195612,1,12,150179000,1,1,201709,9,9,1,0,9,80333481,101371911,86022707,,
10372148,EASTERN MAINE HEALTHCARE SYSTEMS,,43 WHITING HILL ROAD,BREWER,ME,04412-1005,5247,3,9,1000,200506,1,12,150152000,5,1,201709,9,9,1,0,9,77839817,323198522,311151752,E200,THE AROOSTOOK MEDICAL CENTER
10212435,ST JOSEPH HOSPITAL,,PO BOX 403,BANGOR,ME,04402-0403,928,3,9,1700,194603,1,12,150120000,5,1,201712,9,9,1,0,12,77081141,149271326,149271326,E220,
453416923,MAINE COMMUNITY HEALTH OPTIONS,% JOANNE LAUTERBACH,150 MILL ST 3RD FLOOR,LEWISTON,ME,04240-3101,0,29,3,1000,201211,2,0,0,1,1,201712,9,9,1,0,12,75519544,327086333,286850409,Y20,
10390443,DAVIS FAMILY FOUNDATION,,30 FOREST FALLS DR STE 5,YARMOUTH,ME,04096-6983,0,3,3,1000,198309,1,17,601602030,2,1,201712,9,7,1,0,12,75125893,5462685,1901701,T900,
10263385,THOMAS COLLEGE,,180 W RIVER RD,WATERVILLE,ME,04901-5066,0,3,3,2000,196010,1,11,30319349,1,1,201706,9,8,1,0,6,68669460,36476097,32462565,B420,
10527044,NEW OCTOBER CORPORATION,% PHILIP C HUNT,PO BOX 17516,PORTLAND,ME,04112-8516,0,2,3,1000,199909,2,0,0,1,1,201712,9,6,1,0,12,67579502,3694658,-3426043,S47,
10382676,EMPLOYEES OF MUNICIPAL & OTHER PUB- LIC EMPLOYERS OF ME HEALTH INS TR,,60 COMMUNITY DR,AUGUSTA,ME,04330-8008,0,9,3,1000,198208,2,0,265262000,1,1,201712,9,9,1,0,12,67246779,152767907,152767907,,
10211505,THE TRUSTEES OF FRYEBURG ACADEMY,,745 MAIN ST,FRYEBURG,ME,04037-1322,0,3,3,2000,193901,1,11,46030000,5,1,201806,9,8,1,0,6,66840833,35832935,26040368,B25Z,
10212542,TRUSTEES OF ST JOSEPHS COLLEGE,,278 WHITES BRIDGE ROAD,STANDISH,ME,04084-5236,928,3,9,1700,194603,1,11,1000000,5,1,201706,9,9,1,0,6,66525680,64651399,57610732,B430,SAINT JOSEPHS COLLEGE OF MAINE
10219904,STEPHENS MEMORIAL HOSPITAL ASSOCIATION,,181 MAIN STREET,NORWAY,ME,04268-5664,0,3,3,1000,195605,1,12,150000000,1,1,201709,9,9,1,0,9,65173000,67959346,67329991,E220,
10211532,KENTS HILL SCHOOL,,PO BOX 257,KENTS HILL,ME,04349-0257,0,3,3,1200,195004,1,11,30000000,1,1,201706,9,8,1,0,6,60841119,13794604,13291550,,
133321196,THE OAK FOUNDATION USA,% R FARR PRICEWATERHOUSECOOPERS LLP,511 CONGRESS STREET SUITE 800,PORTLAND,ME,04101-3482,0,3,3,1000,198607,1,4,602000000,1,1,201712,9,8,0,1,12,60658161,34069889,,,
10378420,PORTLAND MUSEUM OF ART,,7 CONGRESS SQ,PORTLAND,ME,04101-3802,0,3,3,2000,198306,1,15,60119000,1,1,201801,9,8,1,0,1,60026171,11722533,9303223,A510,
10198331,MAINE COAST REGIONAL HEALTH FACILITIES,,43 WHITING HILL ROAD,BREWER,ME,04412-1005,0,3,3,1000,195012,1,15,150000000,1,1,201709,9,9,1,0,9,58914249,195248981,182375973,E220,MAINE COAST MEMORIAL HOSPITAL
10425071,FRIENDS OF ACADIA,,PO BOX 45,BAR HARBOR,ME,04609-0045,0,3,3,1000,198801,1,15,379000000,1,1,201712,9,8,1,0,12,58102918,14954571,7232104,C340,
223100803,HOUSING INITIATIVES OF NEW ENGLAND,% CYNTHIA J MILLIKEN TAYLOR,264 US ROUTE ONE BLDG 300 STE 2A,SCARBOROUGH,ME,04074-4412,0,3,3,1000,199106,1,15,399000000,1,1,201712,9,7,1,0,12,58099359,6366128,5691426,L99Z,
10224898,HEBRON ACADEMY INCORPORATED,% JIM BISESTI,PO BOX 309,HEBRON,ME,04238-0309,0,3,3,2000,194105,1,11,30319349,1,1,201706,9,8,1,0,6,56534496,32312016,30891406,B200,
10130427,BRIDGTON HOSPITAL,% DAVID THOMPSON,29 LOWELL STREET BOX A,LEWISTON,ME,04240-7639,0,3,3,1000,195002,1,12,150000000,1,1,201706,9,9,1,0,6,55816610,55708394,53807754,E220,
10224769,TRUSTEES OF THORNTON ACADEMY,,438 MAIN ST,SACO,ME,04072-1565,0,3,3,2000,195110,1,11,59000000,1,1,201806,9,8,1,0,6,55169285,30757921,29283113,B25Z,
10524834,MAINE BEHAVIORAL HEALTHCARE,% MICHAEL ABBATIELLO CFO,78 ATLANTIC PL,S PORTLAND,ME,04106-2316,0,3,3,1000,200010,1,12,0,1,1,201709,9,9,1,0,9,54925866,91001822,89866981,F31,
10284340,GOODWILL INDUSTRIES OF NORTHERN NEW ENGLAND,,34 HUTCHERSON DR UNIT 1,GORHAM,ME,04038-2750,0,3,3,1200,196908,1,15,160000000,1,1,201806,9,9,1,0,6,52830999,83006890,75727336,J32Z,
16006001,BIGELOW LABORATORY FOR OCEAN SCIENCES,% BIGE,60 BIGELOW DR,EAST BOOTHBAY,ME,04544-5700,0,3,3,1000,196101,1,15,161180000,1,1,201706,9,8,1,0,6,52556029,17632831,14444038,U210,
10211797,MOUNT DESERT ISLAND HOSPITAL,,10 WAYMAN LN,BAR HARBOR,ME,04609-1625,0,3,3,1000,194012,1,12,150000000,1,1,201704,9,9,1,0,4,51969386,67459631,63815749,E22Z,
10479776,MAINE EDUCATION ASSOCIATION BENEFITS TRUST,,35 COMMUNITY DR,AUGUSTA,ME,04330-8005,0,9,3,1000,199404,2,0,163000000,2,1,201706,8,8,1,0,6,49843136,39812803,7699004,,GERAWAY J MCCORMACK TTEE
10234189,NORTHERN MAINE MEDICAL CENTER,,194 E MAIN ST,FORT KENT,ME,04743-1428,0,3,3,1000,195809,1,12,150179001,1,1,201709,8,9,1,0,9,49674896,60461138,59754367,E20Z,
10211565,WAYNFLETE SCHOOL,,360 SPRING ST,PORTLAND,ME,04102-3643,0,3,3,2000,194302,1,11,30319349,1,1,201706,8,9,1,0,6,49474646,60228969,24985342,B200,
10216837,MAINE SEACOAST MISSION,,127 WEST ST,BAR HARBOR,ME,04609-1430,0,3,3,1700,194110,1,16,29000000,1,1,201806,8,8,1,0,6,49200679,16566571,5590105,,
10275130,UNITY COLLEGE,,90 QUAKER HILL RD,UNITY,ME,04988-3712,0,3,3,2000,196601,1,11,46000000,1,1,201706,8,8,1,0,6,48872001,36975630,28093007,B42Z,
10211807,SWEETSER,,50 MOODY ST,SACO,ME,04072-1536,0,3,3,1000,196908,1,15,59399000,1,1,201706,8,9,1,0,6,48308074,61141254,52647798,P300,
10315296,AVESTA HOUSING DEVELOPMENT CORPORATION,,307 CUMBERLAND AVE,PORTLAND,ME,04101-4920,0,3,3,1000,197611,1,15,380381398,1,1,201712,8,7,1,0,12,47150046,9265374,9265374,L210,
10056837,EASTERN MAINE ELECTRIC COOPERATIVE INC,% SCOTT HALLOWELL CONTROLLER,21 UNION ST,CALAIS,ME,04619-1819,0,12,3,1000,196406,2,0,279000000,3,1,201712,8,8,1,0,12,45959786,16128926,16128926,,
10211503,FRANKLIN MEMORIAL HOSPITAL,,111 FRANKLIN HEALTH CMNS,FARMINGTON,ME,04938-6144,0,3,3,1000,193706,1,12,179000000,1,1,201709,8,9,1,0,9,45668255,77519804,77428477,E220,
222504349,ST MARYS HEALTH SYSTEM,% SR RITO MOE BISSONNETTE RSR,PO BOX 7291,LEWISTON,ME,04243-7291,928,3,9,1700,194603,1,10,31150120,5,1,201712,8,7,6,0,12,45512818,6024976,5655298,E210,
10390854,MELMAC EDUCATION FOUNDATION,,188 WHITTEN RD,AUGUSTA,ME,04330-6021,0,3,3,2000,198310,1,4,41000000,1,1,201712,8,7,0,1,12,45409504,6264158,,W600,
10211509,GOULD ACADEMY,,PO BOX 860,BETHEL,ME,04217-0860,0,3,3,1000,194210,1,11,46030000,1,1,201706,8,8,1,0,6,45063904,20432000,15887150,B250,
210737062,HUBER FOUNDATION,,PO BOX 6008,FALMOUTH,ME,04105-6008,0,3,3,1000,195002,1,4,602000000,1,1,201712,8,6,0,1,12,43605969,4210803,,,
10223755,BERWICK ACADEMY TRUSTEES,,31 ACADEMY ST,SOUTH BERWICK,ME,03908-1501,0,3,3,2000,194112,1,11,46030000,1,1,201706,8,8,1,0,6,42820016,23094031,20557737,B200,
10511356,NORDX,,301A US ROUTE 1,SCARBOROUGH,ME,04074-9701,0,3,3,1000,199707,1,16,179995000,1,1,201709,8,9,1,0,9,42171682,74672462,73063890,E99,
46037997,PREACHERS AID SOCIETY OF NEW ENGLAND,% CONTROLLER,51 CHARLES WESLEY CT,WELLS,ME,04090-5180,2573,3,9,7100,197410,1,10,1919000,5,1,201712,8,7,6,0,12,41777150,5079322,1895711,,
10523390,SENATOR GEORGE J MITCHELL SCHOLARSHIP RESEARCH INSTITUTE,% COLLEEN J QUINT,75 WASHINGTON AVE STE 2E,PORTLAND,ME,04101-2665,0,3,3,2000,199906,1,15,0,1,1,201712,8,8,1,0,12,41493943,19415489,3062153,B82,
10211512,HOME FOR THE AGED,,777 STEVENS AVENUE,PORTLAND,ME,04103-2675,0,3,3,1900,194207,1,15,382000000,1,1,201706,8,7,1,0,6,41313927,7612619,5866368,P750,
10217211,EASTERN MAINE HEALTHCARE SYSTEMS,% ARLENE JONES,43 WHITING HILL ROAD,BREWER,ME,04412-1005,5247,3,9,1000,200506,1,12,150000000,5,1,201709,8,9,1,0,9,41251738,161254018,155187083,E200,INLAND HOSPITAL
10514750,PENOBSCOT COMMUNITY HEALTH CENTER,% DANIELLE BERUBE,103 MAINE AVE,BANGOR,ME,04401-4330,0,3,3,1000,199802,1,16,995154000,1,1,201712,8,9,1,0,12,38680931,73693572,73506775,E32,CHLD ABUS PRVTN CONCL OF OUT-WYN CO
10227184,ANDROSCOGGIN HOME HEALTH SERVICES INC,,15 STRAWBERRY AVE,LEWISTON,ME,04240-5941,0,3,3,1000,197603,1,16,179000000,1,1,201712,8,9,1,0,12,38289759,63054284,34215854,E92Z,ANDROSCOGGIN HOME HEALTHCARE-HOSPIC
475008812,ROXANNE QUIMBY FOUNDATION INC,% ROXANNE QUIMBY,769 CONGRESS ST,PORTLAND,ME,04102-3305,0,3,3,1000,201605,1,4,0,1,1,201712,8,8,0,1,12,37772085,15391081,,T20,
16021559,HYDE SCHOOL,,616 HIGH ST,BATH,ME,04530-1946,0,3,3,2000,196604,1,11,46030000,1,1,201706,8,8,1,0,6,37386921,13635727,12026145,B25Z,
10263628,EASTERN MAINE HEALTHCARE SYSTEMS,,43 WHITING HILL ROAD,BREWER,ME,04412-1005,5247,3,9,1000,200506,1,16,150000000,5,1,201709,8,9,1,0,9,37282787,76283670,69621949,E200,SEBASTICOOK VALLEY HEALTH
237352599,KIEVE-WAVUS EDUCATION INC,,PO BOX 169,NOBLEBORO,ME,04555-0169,0,3,3,2000,197402,1,15,325059000,1,1,201712,8,8,1,0,12,36716062,18017924,10920925,P99,
522029911,SANDY RIVER CHARITABLE FOUNDATION,% ARCHIE W BERRY JR,CO ARCHIE W BERRY JR,FARMINGTON,ME,04938-0000,0,3,3,1000,199704,1,4,602000000,1,1,201705,8,8,0,1,5,36127755,21529115,,J32Z,
10434215,MMC REALTY CORP,,22 BRAMHALL ST,PORTLAND,ME,04102-3134,0,3,3,1000,198902,1,17,201000000,1,1,201709,8,7,1,0,9,35415346,5570575,5559118,E110,
202262822,SAM L COHEN FOUNDATION,,22 FREE ST STE 401,PORTLAND,ME,04101-3900,0,3,3,1000,200509,1,4,0,1,1,201712,8,6,0,1,12,32402961,2915759,,T20,JOHN SHOOS
10319802,SPURWINK SERVICES INCORPORATED,,901 WASHINGTON AVE STE 100,PORTLAND,ME,04103-2842,0,3,3,2000,197311,1,11,30160399,1,1,201706,8,9,1,0,6,31955389,57356614,57185183,,
10202467,MOUNT DESERT ISLAND BIOLOGICAL LABORATORY,,PO BOX 35,SALSBURY COVE,ME,04672-0035,0,3,3,8000,195403,1,16,161180059,1,1,201712,8,8,1,0,12,31299158,11838104,11781157,U500,
222786731,ISLAND INSTITUTE,,386 MAIN ST,ROCKLAND,ME,04841-3345,0,3,3,1200,198704,1,15,402350000,1,1,201706,8,8,1,0,6,31256974,12693657,11844385,B82Z,
222582877,CAMP SUNSHINE AT SEBAGO LAKE INC,,35 ACADIA RD,CASCO,ME,04015-3655,0,3,3,1000,198503,1,15,325000000,1,1,201710,8,6,1,0,10,30662238,4880676,4584561,N20Z,
10378758,MAINE COLLEGE OF ART,,522 CONGRESS ST,PORTLAND,ME,04101-3378,0,3,3,2000,198201,1,11,46030059,1,1,201706,8,8,1,0,6,30378219,28332554,22900411,B420,
10490195,COMMUNITY HOUSING OF MAINE INC,% CULLEN RYAN,1 CITY CTR STOP 4,PORTLAND,ME,04101-4009,0,3,3,1000,199409,1,15,380000000,1,1,201806,8,8,1,0,6,30343933,25854252,9452341,L21Z,
10355896,JOHN F MURPHY HOMES INC,,800 CENTER ST,AUBURN,ME,04210-6404,0,3,3,1000,197904,1,16,575160031,1,1,201806,8,8,1,0,6,29644314,43387852,42534342,P82Z,
10211548,REDINGTON MEMORIAL HOSPITAL ASSOCIATION,,PO BOX 468,SKOWHEGAN,ME,04976-0468,0,3,3,1000,198002,1,17,922000000,1,1,201706,8,7,1,0,6,28988681,8476757,1365203,E22I,
10459837,EASTERN MAINE HEALTHCARE SYSTEMS,,43 WHITING HILL RD,BREWER,ME,04412-1005,5247,3,9,1000,200506,1,12,150000000,5,1,201709,8,9,1,0,9,28873084,153652612,112751890,E200,ACADIA HOSPITAL CORP
10215227,RUMFORD HOSPITAL,% DAVID THOMPSON,420 FRANKLIN ST,RUMFORD,ME,04276-2104,0,3,3,1000,194209,1,15,150000000,1,1,201706,8,8,1,0,6,28508468,45972271,44887852,E220,
10528014,MAINE FARMLAND TRUST INC,,97 MAIN ST,BELFAST,ME,04915-6536,0,3,3,2000,200407,1,15,0,1,1,201712,8,7,1,0,12,28246734,5789808,3544167,K25,
43369649,MAINEGENERAL HEALTH,,35 MEDICAL CENTER PKWY,AUGUSTA,ME,04330-8160,9706,3,6,1000,200608,1,12,0,1,1,201706,8,8,1,0,6,28052477,11289741,11132858,E22,
10529871,MAINE TECHNOLOGY INSTITUTE,% JNET YANCY-WRONA - PHD,8 VENTURE AVENUE BRUNSWICK LANDING,BRUNSWICK,ME,04011-0000,0,3,3,1000,200409,1,15,0,1,1,201706,8,8,1,0,6,27881300,10800497,10800497,B29,
10368070,WILLIAM A FARNSWORTH LIBRARY AND ART MUSEUM INC,,356 MAIN ST,ROCKLAND,ME,04841-3347,0,3,3,2000,198704,1,15,60000000,1,1,201709,8,7,1,0,9,27494066,6804518,3431558,A510,
770612679,CATHOLIC FOUNDATION OF MAINE,% PATRICIA LONG EXE DIR,PO BOX 799,PORTLAND,ME,04104-0799,0,3,3,7100,200501,1,15,0,1,1,201706,8,6,1,0,6,27477476,1849217,1151416,X122,
43341661,ALFOND YOUTH CENTER,% KENNETH A WALSH,126 NORTH ST,WATERVILLE,ME,04901-4954,0,3,3,1000,200201,1,15,994349000,1,1,201803,8,7,1,0,3,27171538,8384688,8238630,O99,
10212442,PINE TREE SOCIETY FOR HANDICAPPED CHILDREN & ADULTS INC,,149 FRONT STREET,BATH,ME,04530-2672,0,3,3,1200,194609,1,15,59160000,1,1,201712,8,8,1,0,12,26919264,10046048,6950639,B28Z,
10219126,LINCOLN ACADEMY,,81 ACADEMY HL,NEWCASTLE,ME,04553-3433,0,3,3,1000,196411,1,11,46030000,1,1,201706,8,8,1,0,6,26573173,13856495,11440887,B250,
10212438,MAINE CENTRAL INSTITUTE,,295 MAIN ST,PITTSFIELD,ME,04967-4502,0,3,3,2000,197212,1,11,30000000,2,1,201706,8,8,1,0,6,26145708,15679164,12440509,B250,
10518516,LIFEFLIGHT OF MAINE LLC,,43 WHITING HILL RD STE 400,BREWER,ME,04412-1012,0,3,3,1600,200508,1,16,0,1,1,201706,8,8,1,0,6,25771010,11009544,11009544,M23
16000785,BANGOR PUBLIC LIBRARY TRUSTEES,,145 HARLOW ST,BANGOR,ME,04401-4903,0,3,3,3000,194411,1,15,61000000,1,1,201706,8,6,1,0,6,25730670,3478624,2552274,
10541131,DOWN EAST LAKES LAND TR,,4 WATER ST,GRAND LK STRM,ME,04668-4003,0,3,3,1000,200112,1,15,0,1,1,201712,8,6,1,0,12,25484278,2001429,1309960,C340
10476545,COASTAL MAINE BOTANICAL GARDENS INC,,PO BOX 234,BOOTHBAY,ME,04537-0234,0,3,3,1000,199303,1,15,994124000,1,1,201703,8,7,1,0,3,25313554,7654842,6253064,C410
10279587,WABAN PROJECTS INC,,5 DUNAWAY DR,SANFORD,ME,04073-5143,0,3,3,1000,196801,1,15,325059160,1,1,201806,8,8,1,0,6,25273113,20391210,19954570,P820
10211546,COMMUNITY HEALTH & NURSING SERVICES,,60 BARIBEAU DR,BRUNSWICK,ME,04011-3218,0,3,3,1000,197306,1,16,179000000,1,1,201712,8,8,1,0,12,24959297,14269369,11893090,E90Z
10237721,UNIVERSITY OF MAINE PULP AND PAPER FOUNDATION,,5737 JENNESS HALL,ORONO,ME,04469-5737,0,3,3,1200,195406,1,15,59040000,1,1,201712,8,7,1,0,12,24922968,5156644,2013731,S41Z
10421806,THE BILL AND JOAN ALFOND FOUNDATION,% DEXTER ENTERPRISES INC,TWO MONUMENT SQUARTE,PORTLAND,ME,04101-0000,0,3,3,1000,198705,1,4,602000000,1,1,201712,8,6,0,1,12,24913831,4613930,,
10263198,DOWN EAST COMMUNITY HOSPITAL,,11 HOSPITAL DR,MACHIAS,ME,04654-3325,0,3,3,1000,196609,1,12,150000000,1,1,201712,8,8,1,0,12,24873952,44639785,43145290,E22
