,names,type,urls
52,MAINELY BEES LLC,LEGAL,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=20187345DC
53,"MAINELY BENEFICIALS, LLC",LEGAL,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=20160292DC
54,MAINELY BENEFITS LLC,LEGAL,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=20171723DC
55,MAINELY BERRIES OF SOUTH BERWICK MAINE 03908,MARK,https://icrs.informe.org/nei-sos-icrs/ICRS?MarkSumm=19950301+M
56,MAINELY BIBS,LEGAL,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=19932363+D
57,MAINELY BINGO,LEGAL,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=19991560+D
58,MAINELY BINGO,MARK,https://icrs.informe.org/nei-sos-icrs/ICRS?MarkSumm=19980373+M
59,MAINELY BIRCHES,MARK,https://icrs.informe.org/nei-sos-icrs/ICRS?MarkSumm=20000124+M
60,MAINELY BLESSINGS LLC,LEGAL,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=20174231DC
61,"MAINELY BLOOMS,LLC",LEGAL,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=20195785DC
62,"MAINELY BOATS, INC.",LEGAL,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=20170561+D
63,"MAINELY BOOKKEEPING, LLC",LEGAL,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=20191737DC
64,MAINELY BOOKS,LEGAL,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=20100984+D
65,MAINELY BOOZE,ASSUMED,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=20122872DC
66,MAINELY BRASS,LEGAL,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=19890510+D
67,"MAINELY BREAD, INC.",LEGAL,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=20140274+D
68,MAINELY BREADS INC.,LEGAL,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=20140342+D
69,MAINELY BREWS RESTAURANT & BREWHOUSE,ASSUMED,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=20081457+D
70,"MAINELY BROTHERS PROPERTIES, LLC",LEGAL,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=20175383DC
71,MAINELY BUBBAS LIMITED LIABILITY COMPANY,LEGAL,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=19960059DC
72,MAINELY BUBBLES LAUNDROMAT,LEGAL,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=20070318+D
73,MAINELY BUILDERS LLC,LEGAL,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=20050591DC
74,MAINELY BUOYS LLC,LEGAL,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=20155293DC
75,MAINELY BUZZED,MARK,https://icrs.informe.org/nei-sos-icrs/ICRS?MarkSumm=20200043+M
76,"BOONDOCKS, MAINE-LY COMFORT FOODS, LLC",LEGAL,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=20176660DC
77,MAINE-LY CLASSICS,ASSUMED,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=19921314+D
78,"MAINE-LY CLOCKS, INC.",LEGAL,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=19962816+D
79,"MAINE-LY CONCRETE PUMPING, INC.",LEGAL,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=20021594+D
80,"MAINE-LY CONCRETE, CORP.",LEGAL,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=19992462+D
81,"MAINE-LY COUNTRY WESTERN WEAR, INC.",LEGAL,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=19741136+D
82,"MAINELY CABLE, INC.",LEGAL,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=19890390ND
83,"MAINELY CALIFORNIA, LLC",LEGAL,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=19970330DC
84,MAINELY CANDY LLC,LEGAL,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=20141253DC
85,MAINELY CANNABIS LLC,LEGAL,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=20152996DC
86,MAINELY CANVAS,ASSUMED,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=19961972+D
87,"MAINELY CARPENTRY, INC.",LEGAL,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=19862581+D
88,MAINELY CATS LLC,LEGAL,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=20196825DC
89,MAINELY CBD L.L.C.,LEGAL,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=20197501DC
90,"MAINELY CENTRAL VACS, INC.",LEGAL,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=19962503+D
91,MAINELY CHARACTER,LEGAL,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=20010045ND
92,"MAINELY CHILDCARE, LLC",LEGAL,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=20171304DC
93,MAINELY CHIPS LLC,LEGAL,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=20163527DC
94,"MAINELY CHIROPRACTIC, LLC P.A.",LEGAL,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=20123395DC
95,MAINELY CHOCOLATES LLP,LEGAL,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=20010004DP
96,MAINELY CHRISTMAS,ASSUMED,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=20010393+D
97,"MAINELY CLEANING COMPANY, INC.",ASSUMED,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=19940112+D
98,MAINELY COATINGS LLC,LEGAL,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=20161520DC
99,"MAINELY COFFEE, LLC",LEGAL,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=20183586DC
100,MAINELY COMFORT LLC,LEGAL,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=20164468DC
101,MAINELY COMPANY LLC,LEGAL,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=20174274DC
102,"MAINELY COMPUTERS, INC.",LEGAL,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=19921523+D
103,"MAINELY COMPUTERS, L.L.C.",LEGAL,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=20121412DC
104,"MAINELY CONSTRUCTION RENTALS, LLC",LEGAL,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=20133132DC
105,"MAINELY CONSTRUCTION, LLC",LEGAL,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=20042608DC
106,"MAINELY CONTRACTING, LLC",LEGAL,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=20154543DC
107,MAINELY CONTROLS,LEGAL,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=20060320+D
108,"MAINELY COOKOUTS, INC.",LEGAL,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=20110095+D
109,MAINELY COOPER LLC,LEGAL,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=20121543DC
110,"MAINELY COPIERS, INC.",LEGAL,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=19902546+D
111,"MAINELY CORK HANDBAGS, LLC",LEGAL,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=20194872DC
112,MAINELY COTTAGE LLC,LEGAL,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=20186824DC
113,"MAINELY CRAFTS, LLC",LEGAL,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=20032391DC
114,MAINELY CREAM LLC,LEGAL,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=20185817DC
115,"MAINELY CREATIONS, INC.",LEGAL,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=20040080+D
116,MAINELY CREATIONS,LEGAL,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=19960575+D
117,MAINELY CUBS,LEGAL,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=20080443+D
118,MAINELY CUSTARD 2,ASSUMED,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=20170978+D
119,"MAINELY CUSTARD, LLC",FORMER,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=20042023DC
120,MAINELY CUSTARD,ASSUMED,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=20160036+D
121,"MAINELY CUSTOM BUILDERS, INC.",LEGAL,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=19952554+D
122,"MAINELY CUSTOM BY DESIGN, INC.",LEGAL,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=20011136+D
123,"MAINELY CUSTOM CARVING, LLC",LEGAL,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=20010603DC
124,"MAINELY CUSTOM, LLC",LEGAL,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=20053119DC
125,MAINELYCERTS,ASSUMED,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=20140539DC
126,MAINE-LY DELIVERED MEALS,MARK,https://icrs.informe.org/nei-sos-icrs/ICRS?MarkSumm=20170002+M
127,MAINE-LY DISKS,LEGAL,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=19930144+D
128,"MAINE-LY DOCKS, LLC",LEGAL,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=20201836DC
129,MAINE-LY DRAGONFLIES & BUTTERFLIES,MARK,https://icrs.informe.org/nei-sos-icrs/ICRS?MarkSumm=20080211+M
130,MAINE-LY DRIZZLE LLC,LEGAL,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=20141435DC
131,MAINELY DEALS,RESERVED,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=20190054RD
132,MAINELY DEL BOCA VISTA LLC,LEGAL,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=20203792DC
133,MAINELY DENIM,ASSUMED,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=20194482DC
134,MAINELY DESIGNS,MARK,https://icrs.informe.org/nei-sos-icrs/ICRS?MarkSumm=19890237+M
135,"MAINELY DESSERTS, LLC",LEGAL,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=20050921DC
136,MAINELY DETAILING,MARK,https://icrs.informe.org/nei-sos-icrs/ICRS?MarkSumm=20080235+M
137,MAINELY DETAILS LLC,LEGAL,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=20153172DC
138,"MAINELY DEVELOPMENT, LLC",LEGAL,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=20063200DC
139,MAINELY DIGGING LLC,LEGAL,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=20190551DC
140,MAINELY DIGITAL PHOTOGRAPHY LLC,LEGAL,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=20123462DC
141,"MAINELY DIGITIZING, INC.",ASSUMED,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=20020655+D
142,"MAINELY DOG RESCUE, INC.",LEGAL,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=20120489ND
143,MAINELY DRAFTING LLC,LEGAL,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=20082183DC
144,MAINELY DREDGE LLC,LEGAL,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=20073187DC
145,"MAINELY DRIVERS, INC.",LEGAL,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=19990125+D
146,MAINELY DRIVING ACADEMY LLC,LEGAL,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=20113304DC
147,MAINELY DRONING & PHOTOGRAPHY LLC,LEGAL,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=20172993DC
148,"MAINELY-DOGS.COM, INC.",LEGAL,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=20001906+D
149,"MAINE-LY EDUCATION, INC.",LEGAL,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=19862701+D
150,MAINE-LY ELDER CARE,LEGAL,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=20081104+D
151,MAINE-LY ELDER CARE,MARK,https://icrs.informe.org/nei-sos-icrs/ICRS?MarkSumm=19990409+M
152,MAINE-LY ENGLISH INC,LEGAL,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=20190653+D
153,MAINE-LY EYES,ASSUMED,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=20032012+D
154,"MAINELY E-BIKES, LLC",LEGAL,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=20150715DC
155,"MAINELY EARTH IMAGES, LLC",LEGAL,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=20052587DC
156,MAINELY EDI,FORMER,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=19962173+D
157,MAINELY EDUCATION INC.,LEGAL,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=20100206+F
158,MAINELY ELECTROLOGY LLC,LEGAL,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=20192291DC
159,MAINELY EMBROIDERY LLC,LEGAL,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=20182716DC
160,"MAINELY ENGINEERING, INC.",LEGAL,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=19892089+D
161,MAINELY ENGRAVING LLC,ASSUMED,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=20121673DC
162,"MAINELY ENTERPRISES, LLC",LEGAL,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=20154717DC
163,"MAINELY ENTERTAINMENT, INC.",LEGAL,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=20170077+D
164,MAINELY ENVIRONMENTAL LLC,LEGAL,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=20175762DC
165,MAINELY EQUINE BODYWORKS LLC,RESERVED,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=20190141RC
166,"MAINELY ERRANDS, LLC",LEGAL,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=20162141DC
167,"MAINELY ESCAPES, INC.",LEGAL,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=20160269+D
168,"MAINELY EVENTS, LLC",LEGAL,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=20174717DC
169,"MAINELY EXPORTS, LLC",LEGAL,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=20182762DC
170,MAINELY EYES - CANCELLED,ASSUMED,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=19990985+D
171,MAINELY EYES,LEGAL,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=20130179+D
172,MAINE'LY FURNITURE RESTORATION AND REFINISHING LLC,LEGAL,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=20191284DC
173,MAINE-LY FINANCIAL SERVICES LLC,FORMER,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=20092641DC
174,MAINE-LY FIRE SPRINKLERS,ASSUMED,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=19970555+F
175,"MAINE-LY FISH PRINTS AND MERCANTILE, LLC",LEGAL,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=20151833DC
176,"MAINE-LY FISHING GUIDE SERVICE, INC.",LEGAL,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=19861864+D
177,MAINE-LY FOAM,ASSUMED,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=19960197+D
178,"MAINE-LY FOODS, INCORPORATED",LEGAL,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=20030916+D
179,MAINE-LY FOR YOU,MARK,https://icrs.informe.org/nei-sos-icrs/ICRS?MarkSumm=19940037+M
180,"MAINELY FAMILIES, INC.",LEGAL,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=19830298ND
181,"MAINELY FARM, HOME AND GARDEN, INC.",LEGAL,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=19890740+D
182,"MAINELY FENCE, LLC",FORMER,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=20152317DC
183,MAINELY FENCE,ASSUMED,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=20140063+D
184,MAINELY FIREARMS LLC,LEGAL,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=20185072DC
185,"MAINELY FIT, INC.",LEGAL,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=20031961+D
186,MAINELY FITNESS LLC,LEGAL,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=20130541DC
187,MAINELY FITNESS LLC,LEGAL,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=20183045DC
188,MAINELY FITNESS PATIENCE RESISTENCE RESULTS,MARK,https://icrs.informe.org/nei-sos-icrs/ICRS?MarkSumm=20130054+M
189,"MAINELY FLAGS, INC.",LEGAL,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=19950018+D
190,MAINELY FLOATS LLC,LEGAL,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=20083821DC
191,"MAINELY FLOORS BY GEORGE, INC.",LEGAL,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=20100152+D
192,"MAINELY FLOWERS, LLC",LEGAL,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=20203818DC
193,MAINELY FOLK PRODUCTIONS,LEGAL,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=19890504ND
194,"MAINELY FOOD & FUEL, INC.",LEGAL,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=20070471+D
195,"MAINELY FOUNDATIONS, LLC",LEGAL,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=20144129DC
196,"MAINELY FRAMES & GALLERY, INC.",LEGAL,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=19961212+D
197,MAINELY FRIENDS,LEGAL,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=19881002+D
198,MAINELY FUN CHILDERN'S GYM LLC,LEGAL,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=20191612DC
199,"COMMUNITY ENRICH-MENT MATTERS, ENRICH-ME, EMPOWER-ME, COMMUNITY TREASURES, WISDOM CARE, HEALTHY MATTERS, MAINELY GIFTED, REACH-4 WELLNESS, COMMUNITY",MARK,https://icrs.informe.org/nei-sos-icrs/ICRS?MarkSumm=20020147+M
200,MAINE-LY GULLS AND BUOYS,MARK,https://icrs.informe.org/nei-sos-icrs/ICRS?MarkSumm=19990150+M
201,"MAINE-LY GYMNASTICS, INC.",LEGAL,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=20012629+D
202,"MAINE-LY GYMNASTICS, INC",LEGAL,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=20120160+D
203,MAINELY GAMES,MARK,https://icrs.informe.org/nei-sos-icrs/ICRS?MarkSumm=20160181+M
204,"MAINELY GEMS AND JEWELRY, INC.",LEGAL,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=20100517+D
205,MAINELY GENETICS LLC,LEGAL,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=20172899DC
206,MAINELY GIFTED,ASSUMED,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=20020118ND
207,MAINELY GIRLS,LEGAL,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=20000406ND
208,"MAINELY GLAMPING, LLC",LEGAL,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=20171817DC
209,MAINELY GLASS INC.,ASSUMED,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=20160661+D
210,"MAINELY GLOVES, LLC",LEGAL,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=20113741DC
211,MAINELY GOAT RESCUE,LEGAL,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=20180404ND
212,MAINELY GOAT SOAP,MARK,https://icrs.informe.org/nei-sos-icrs/ICRS?MarkSumm=20160127+M
213,MAINELY GOLF CONSTRUCTION,LEGAL,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=19991830+D
214,MAINELY GOURMET FOODS & GIFTS L.L.C.,LEGAL,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=19980126DC
215,MAINELY GOURMET,MARK,https://icrs.informe.org/nei-sos-icrs/ICRS?MarkSumm=19870240+M
216,MAINELY GOURMET,MARK,https://icrs.informe.org/nei-sos-icrs/ICRS?MarkSumm=20080199+M
