,facility.id,facility.callSign,facility.service,facility.rfChannel,facility.virtualChannel,facility.licenseExpirationDate,facility.statusDate,facility.status,facility.communityCity,facility.communityState,facility.facilityType,facility.frequency,facility.activeInd,facility.scannedLetterIds,facility.cenEmail,facility.cenPhone,facility.partyName,facility.partyAddress1,facility.partyAddress2,facility.partyCity,facility.partyZip1,facility.partyZip2,facility.partyState,facility.partyPhone,facility.nielsenDma,facility.networkAfil,facility.band,facility.authAppId,facility.authAppIdLMS,facility.lmsRenewalId,facility.postCardId,facility.mainStudioContact.contactAddress1,facility.mainStudioContact.contactAddress2,facility.mainStudioContact.contactCity,facility.mainStudioContact.contactZip,facility.mainStudioContact.contactZipExt,facility.mainStudioContact.contactState,facility.mainStudioContact.contactPhone,facility.mainStudioContact.contactFax,facility.mainStudioContact.contactWebsite,facility.mainStudioContact.contactEmail,facility.mainStudioContact.contactName,facility.mainStudioContact.contactTitle,facility.mainStudioContact.contactPhoneExt,facility.ccContact.contactAddress1,facility.ccContact.contactAddress2,facility.ccContact.contactCity,facility.ccContact.contactZip,facility.ccContact.contactZipExt,facility.ccContact.contactState,facility.ccContact.contactPhone,facility.ccContact.contactFax,facility.ccContact.contactWebsite,facility.ccContact.contactEmail,facility.ccContact.contactName,facility.ccContact.contactTitle,facility.ccContact.contactPhoneExt
10,48305,WAGM-TV,Digital TV,8,8,04/01/2023,06/16/2009,LICENSED,PRESQUE ISLE,ME,CDT,180.0,Y,,Robert.Folliard@gray.tv,202-750-1585,"GRAY TELEVISION LICENSEE, LLC","4370 PEACHTREE ROAD, NE",,ATLANTA,30319,,GA,(404)266-8333,PRESQUE ISLE,CBS/FOX,High V,1519031,,,1655669,12 Brewer Rd,,Presque Isle,04769,,ME,2077644461,,wagmtv.com,wagm@wagmtv.com,,,,WAGM-TV,12 Brewer Road,Presque Isle,04769,,ME,207-764-4461,207-764-5329,,lconnolly@wagmtv.com,Linda Connolly,Traffic Mgr,222
11,17005,WABI-TV,Digital TV,13,5,04/01/2023,06/16/2009,LICENSED,BANGOR,ME,CDT,210.0,Y,,Robert.Folliard@gray.tv,(202) 750-1585,"GRAY TELEVISION LICENSEE, LLC","4370 PEACHTREE ROAD, NE",,ATLANTA,30319,,GA,(404)504-9828,BANGOR,CBS/CW,High V,1412038,,,1656390,35 Hildreth Street,,Bangor,04401,,ME,2079478321,,www.wabi.tv,wabi@wabi.tv,,,0,35 Hildreth Street,,Bangor,04401,,ME,207-947-8321,207-941-9378,,captioning@wabi.tv,Steve Hiltz,Program Director,160
12,53065,WPXT,Digital TV,34,51,04/01/2023,05/05/2009,LICENSED,PORTLAND,ME,CDT,590.0,Y,,HTV_Retrans_Elections@hearst.com,(704) 348-8769,HEARST PROPERTIES INC.,P.O. BOX 1800,,RALEIGH,27602,,NC,(919)839-0300,PORTLAND-AUBURN,CW,UHF,2035647,25076f9170b21b9a0170d43fae685e6d,,,4 Ledgeview Dr.,,Westbrook,04092,,ME,207-774-0051,207-774-6849,www.ourmaine.com,jspaulding@ourmaine.com,Jennifer Spaulding,,143,4 Ledgeview Drive,,Westbrook,04092,,ME,2078353771,2077566253,https://www.wmtw.com/cw,srobinson@hearst.com,Stefanie Robinson,Program Coordinator,
13,73288,WMTW,Digital TV,8,8,04/01/2023,06/16/2009,LICENSED,POLAND SPRING,ME,CDT,180.0,Y,,HTV_Retrans_Elections@hearst.com,(704) 348-8769,HEARST PROPERTIES INC.,"C/O BROOKS, PIERCE, ET. AL.",P.O BOX 1800,RALEIGH,27602,,NC,(919)839-0300,PORTLAND-AUBURN,ABC,High V,1316058,,,1653883,4 Ledgeview Drive,,Westbrook,04092,,ME,2078353888,2077756253,WMTW.com,News8wmtw@hearst.com,General Manageer,,,4 Ledgeview Drive,,Westbrook,04092,,ME,2078353771,2077756253,www.wmtw@wmtw.com,srobinson@hearst.com,Stefanie Robinson,Program Coordinator,
14,84088,WPFO,Digital TV,17,23,04/01/2023,05/05/2009,LICENSED,WATERVILLE,ME,CDT,488.0,Y,,MAnderson@CunninghamBroadcasting.com,410-662-9688,"PORTLAND (WPFO-TV) LICENSEE, INC.",2000 WEST 41ST STREET,,BALTIMORE,21211,,MD,(410)662-9688,PORTLAND-AUBURN,FOX,UHF,2022502,25076f916ab88c98016ac63f87fb1cfe,,,81 Northport Drive,,Portland,04103,,ME,2072287727,,FOX23Maine.com,tlham@Cunninghambroadcasting.com,Torrey Ham,,,2000 West 41st Street,,Baltimore,21211,,MD,410-662-9688,410-662-0816,FOX23Maine.com,closedcaptioning@cunninghambroadcasting.com,Belinda M McGlotten,Corporate Public Affairs Manager,
15,17514,WXME,AM Station,,,04/01/2022,,LICENSED,MONTICELLO,ME,,780.0,Y,,,,ALLAN H WEINER,274 BRITTON RD,,MONTICELLO,04760,,ME,(207)985-7547,,,,1196124,,,1600140,,,,,,,,,,,,,,,,,,,,,,,,,,
16,74068,WWSF,AM Station,,,04/01/2022,06/06/2011,LICENSED,SANFORD,ME,,1220.0,Y,,,,"PORT BROADCASTING, LLC",11 DOWNING COURT,,EXETER,03833,1903,NH,(603)583-4767,,,,410243,,,1587259,11 Downing Court,,Exeter,03833,,NH,6035834767,,www.sanfordlegends.com,pete@portbroadcast.com,Pete Falconi,,,,,,,,,,,,,,,
17,3140,WRED,AM Station,,,04/01/2022,,LICENSED,WESTBROOK,ME,,1440.0,Y,74397,,,"ATLANTIC COAST RADIO, LLC",583 WARREN AVENUE,,PORTLAND,04103,,ME,,,,,47072,,,1575161,779 Warren Ave,,Portland,04103,,ME,207-773-9695,207-761-4406,thebigjab.com,jon@atlanticcoastradio.com,Jon Van Hoogenstyn,,11,,,,,,,,,,,,,
18,9202,WLOB,AM Station,,,04/01/2022,,LICENSED,PORTLAND,ME,,1310.0,Y,,,,"ATLANTIC COAST RADIO, LLC",779 WARREN AVENUE,,PORTLAND,04103,,ME,(207)773-9695,,,,1655091,,,,779 Warren Ave,,Portland,04103,,ME,207-773-9695,207-761-4406,wlobradio.com,jon@atlanticcoastradio.com,Jon Van Hoogenstyn,,11,,,,,,,,,,,,,
19,73088,WVAE,AM Station,,,04/01/2022,11/10/1999,LICENSED,BIDDEFORD,ME,,1400.0,Y,,,,"SAGA COMMUNICATIONS OF NEW ENGLAND, LLC",73 KERCHEVAL AVENUE,,GROSSE POINTE FARMS,48236,,MI,(313)886-7070,,,,1738393,,,,420 Western Ave.,,South Portland,04106,,ME,207-283-1234,207-774-3788,bayfavorites.com,pfhelp@portlandradiogroup.com,,,,,,,,,,,,,,,,
20,17671,WDEA,AM Station,,,04/01/2022,,LICENSED,ELLSWORTH,ME,,1370.0,Y,,,,"TOWNSQUARE MEDIA BANGOR LICENSE, LLC",1 MANHATTANVILLE ROAD,SUITE 202,PURCHASE,10577,,NY,(203)861-0900,,,,313441,,,1583928,49 Acme Road,,Brewer,04412,,ME,207-989-5631,,http://wdea.am/,fred.miller@townsquaremedia.com,Fred Miller,,,,,,,,,,,,,,,
21,33287,WJTO,AM Station,,,04/01/2022,,LICENSED,BATH,ME,,730.0,Y,,,,BLUE JEY BROADCASTING COMPANY,P O BOX 308,,BATH,04530,0308,ME,(207)442-0647,,,,305331,,,1584472,87 Austin Rd - no USPS mail,,West Bath,04530,,ME,207-443-6671,none,none,bobthemusicman7@aol.com,Bob Bittner,,,,,,,,,,,,,,,
22,3670,WTOS,AM Station,,,04/01/2022,03/01/2016,LICENSED,BANGOR,ME,,910.0,Y,,,,"BLUEBERRY BROADCASTING, LLC",P.O. BOX 2600,,KENNEBUNKPORT,04046,,ME,(207)967-8094,,,,1189455,,,1736887,184 Target Industrial Circle,,BANGOR,04401,,ME,(207)947-9100,,http://www.big104fm.com/,jackobrien@blueberrybroadcasting.com,,,,,,,,,,,,,,,,
23,49517,WFST,AM Station,,,04/01/2022,01/15/2001,LICENSED,CARIBOU,ME,,600.0,Y,,,,"NORTHERN BROADCAST MINISTRIES, INC.",PO BOX 600,670 SWEDEN STREET,CARIBOU,04736,,ME,(207)492-6000,,,,314739,,,1576036,670 Sweden Street,,Caribou,04736,,ME,207-492-6000,207-493-3268,www.familyradiowfst.com,wfstradio@gmail.com,Christa Waugh,,,,,,,,,,,,,,,
24,9209,WEZR,AM Station,,,04/01/2022,03/29/2020,LICENSED AND SILENT,RUMFORD,ME,,780.0,Y,,,,"BENNETT RADIO GROUP, LLC",271 FLETCHER RD.,,AUBURN,04210,,ME,(207)344-8007,,,,1539997,,,1592625,,,,,,,,,,,,,,,,,,,,,,,,,,
25,9423,WEGP,AM Station,,,04/01/2022,02/13/2020,LICENSED,PRESQUE ISLE,ME,,1390.0,Y,,,,"RELEVANT RADIO, INC.",1496 BELLEVUE STREET,SUITE 202,GREEN BAY,54307,,WI,(920)884-1460,,,,1678523,,,,1496 Bellevue St.,Suite 202,Green Bay,54307,,WI,877-291-0123,,www.relevantradio.com,info@relevantradio.com,,,,,,,,,,,,,,,,
26,58544,WGAN,AM Station,,,04/01/2022,,LICENSED,PORTLAND,ME,,560.0,Y,,,,"SAGA COMMUNICATIONS OF NEW ENGLAND, LLC",73 KERCHEVAL AVENUE,,GROSSE POINTE FARMS,48236,,MI,(313)886-7070,,,,1351144,,,1580149,420 Western Ave.,,South Portland,04106,,ME,207-774-4561,207-774-3788,wgan.com,pfhelp@portlandradiogroup.com,,,,,,,,,,,,,,,,
27,24994,WLVP,AM Station,,,04/01/2022,,LICENSED,GORHAM,ME,,870.0,Y,,,,BLUE JEY BROADCASTING CO.,P O BOX 308,,BATH,04530,0308,ME,(207)442-0647,,,,150428,,,1591870,477 Congress St 3A,"no USPS deliveries, use PO Box",Portland,04101,,ME,844-MEMORY7,none,none,BobTheMusicMan7@aol.com,Bob Bittner,,,,,,,,,,,,,,,
28,33469,WSYY,AM Station,,,04/01/2022,,LICENSED,MILLINOCKET,ME,,1240.0,Y,,,,"KATAHDIN COMMUNICATIONS, INC..",P. O. BOX 1240,LAKE ROAD,MILLINOCKET,04462,,ME,,,,,310437,,,1601481,,,,,,,,,,,,,,,,,,,,,,,,,,
29,49983,WBAE,AM Station,,,04/01/2022,,LICENSED,PORTLAND,ME,,1490.0,Y,,,,"SAGA COMMUNICATIONS OF NEW ENGLAND, LLC",73 KERCHEVAL AVENUE,,GROSSE POINTE FARMS,48236,,MI,(313)886-7070,,,,1258559,,,1580160,420 Western Ave.,,South Portland,04106,,ME,207-774-4561,207-774-3788,bayfavorites.com,pfhelp@portlandradiogroup.com,,,,,,,,,,,,,,,,
30,160465,WGUY,AM Station,,,04/01/2022,12/15/2011,LICENSED,VEAZIE,ME,,1230.0,Y,,,,"PORT BROADCASTING, LLC",11 DOWNING COURT,,EXETER,03833,1903,NH,(603)583-4767,,,,1813934,,,,11 Downing Court,,Exeter,03833,,NH,6035834767,,www.wguybangor.com,pete@portbroadcast.com,Pete Falconi,,,,,,,,,,,,,,,
31,46351,WSKW,AM Station,,,04/01/2022,,LICENSED,SKOWHEGAN,ME,,1160.0,Y,74984,,,"MOUNTAIN WIRELESS, INC.",P.O. BOX 274,,NORTH MARSHFIELD,02059,,MA,(207)474-5171,,,,193258,,,1585808,295 Kennedy Memorial Drive,,Waterville,04901,,ME,207-621-9759,,http://legacy1160.com/,,,,,,,,,,,,,,,,,
32,11031,WIGY,AM Station,,,04/01/2022,08/12/2020,LICENSED,LEWISTON,ME,,1240.0,Y,,,,"BENNETT RADIO GROUP, LLC",271 FLETCHER RD.,,AUBURN,04210,,ME,(207)344-8007,,,,1626139,,,,243 Main St.,,Norway,04268,,ME,207-344-8007,,www.wigyradio.com,stan@bennettradiogroup.com,Stan Bennett,,,,,,,,,,,,,,,
33,37469,WMDR,AM Station,,,04/01/2022,08/25/2020,LICENSED,AUGUSTA,ME,,1340.0,Y,,,,"LIGHT OF LIFE MINISTRIES, INC.",160 RIVERSIDE DRIVE,,AUGUSTA,04330,,ME,(207)622-1340,,,,1736332,,,,160 Riverside Drive,,Augusta,04330,,ME,207-622-1340,,worshipradionetwork.org,publicfile@worshipradionetwork.org,Nadine Beckim,,,,,,,,,,,,,,,
34,52604,WJZN,AM Station,,,04/01/2022,07/25/2017,LICENSED,AUGUSTA,ME,,1400.0,Y,,,,"TOWNSQUARE MEDIA AUGUSTA/WATERVILLE LICENSE, LLC",1 MANHATTANVILLE ROAD,SUITE 202,PURCHASE,10577,,NY,(203)861-0900,,,,1738062,,,,56 Western Avenue -Suite 1,,Augusta,04330,,ME,2076234735,2076202035,http://capital959.com/,julie.beaulieu@townsquaremedia.com,Julie Beaulieu,,111,,,,,,,,,,,,,
35,52607,WTVL,AM Station,,,04/01/2022,12/12/2013,LICENSED,WATERVILLE,ME,,1490.0,Y,,,,"TOWNSQUARE MEDIA AUGUSTA/WATERVILLE LICENSE, LLC",1 MANHATTANVILLE ROAD,SUITE 202,PURCHASE,10577,,NY,(203)861-0900,,,,1738922,,,,56 Western Avenue -Suite 1,,Augusta,04330,,ME,2076234735,2076202035,http://koolam.com,julie.beaulieu@townsquaremedia.com,Julie Beaulieu,,111,,,,,,,,,,,,,
36,56570,WCME,AM Station,,,04/01/2022,10/17/2012,LICENSED,BRUNSWICK,ME,,900.0,Y,,,,JAMES B. BLEIKAMP,"14 MAINE STREET, SUITE 105",,BRUNSWICK,04011,,ME,(207)729-9949,,,,1531120,,,1602887,14 Maine Street,Suite 105,Brunswick Maine,04011,,ME,2077989094,,www.radio9wcme.com,jimwcme@gmail.com,James Bleikamp,,,,,,,,,,,,,,,
37,57300,WVOM,AM Station,,,04/01/2022,,LICENSED,ROCKLAND,ME,,1450.0,Y,,,,"BLUEBERRY BROADCASTING, LLC",P.O. BOX 2600,,KENNEBUNKPORT,04046,,ME,(207)967-8094,,,,132417,,,1581633,15 Payne Ave,,Rockland,04841,,ME,(207)623-9000,,http://www.wvomfm.com/,jackobrien@blueberrybroadcasting.com,,,,,,,,,,,,,,,,
38,58538,WZAN,AM Station,,,04/01/2022,,LICENSED,PORTLAND,ME,,970.0,Y,75987,,,"SAGA COMMUNICATIONS OF NEW ENGLAND, LLC",73 KERCHEVAL AVENUE,,GROSSE POINTE FARMS,48236,,MI,(313)886-7070,,,,305769,,,,420 Western Ave.,,South Portland,04106,,ME,207-774-4561,207-774-3788,theoutlawportland.com,pfhelp@portlandradiogroup.com,,,,,,,,,,,,,,,,
39,52176,WPNO,AM Station,,,04/01/2022,08/12/2020,LICENSED,SOUTH PARIS,ME,,1450.0,Y,,,,"BENNETT RADIO GROUP, LLC",271 FLETCHER RD.,,AUBURN,04210,,ME,(207)344-8007,,,,313851,,,1592588,,,,,,,,,,,,,,,,,,,,,,,,,,
40,64434,WLAM,AM Station,,,04/01/2022,,LICENSED,LEWISTON,ME,,1470.0,Y,,,,BLUE JEY BROADCASTING CO.,P O BOX 308,,BATH,04530,0308,ME,(207)442-0647,,,,313977,,,1591867,477 Congress St 3A,no USPS mail. Use P O Box,Portland,04101,,ME,844-MEMORY7,none,none,BobTheMusicMan7@aol.com,Bob Bittner,,,,,,,,,,,,,,,
41,66674,WZON,AM Station,,,04/01/2022,,LICENSED,BANGOR,ME,,620.0,Y,"79400,79401,79402",,,THE ZONE CORPORATION,P.O. BOX 1929,,BANGOR,04402,,ME,,,,,314777,,,1581330,861 Broadway,,Bangor,04401,,ME,207-990-2800,,www.zoneradio.com,howie@zoneradio.com,Howard Soule,,114,,,,,,,,,,,,,
42,68296,WHTP,AM Station,,,04/01/2022,10/16/2013,LICENSED,GARDINER,ME,,1280.0,Y,,,,"MAINEINVESTS, LLC",89 MUSSEY ROAD,SUITE 100,SCARBOROUGH,04074,,ME,(207)883-0615,,,,1779845,,,,89 Mussy Rd.,Ste. 100,Scarborough,04074,,ME,207-883-0615,none,none,lee@mainestreamonline.com,Ryan Dillon,,,,,,,,,,,,,,,
43,128805,WHZP,AM Station,,,04/01/2022,03/04/2005,LICENSED,VEAZIE,ME,,1400.0,Y,,,,"MAINEINVESTS, LLC",89 MUSSEY ROAD,SUITE 100,SCARBOROUGH,04074,,ME,(207)883-0615,,,,1813930,,,,89 Mussey Rd.,Ste. 100,Scarborough,04074,,ME,207-883-0615,,hotradiomaine.com,hotradiomaine@mainestreamonline.com,Ryan Deelon,,,,,,,,,,,,,,,
44,128808,WBAN,AM Station,,,04/01/2022,12/03/2002,LICENSED,VEAZIE,ME,,1340.0,Y,,,,"PORT BROADCASTING, LLC",11 DOWNING COURT,,EXETER,03833,1903,NH,(603)583-4767,,,,613356,,,1600430,11 Downing Court,,Exeter,03833,,NH,603-583-4767,,www.941thewave.com,pete@portbroadcast.com,Pete Falconi,,,,,,,,,,,,,,,
45,22880,WCYY,FM Station,232,,04/01/2022,,LICENSED,BIDDEFORD,ME,H,94.3,Y,,,,"TOWNSQUARE MEDIA PORTLAND LICENSE, LLC",1 MANHATTANVILLE ROAD,SUITE 202,PURCHASE,10577,,NY,(203)861-0900,,,,253795,,,1591033,One City Center,3rd Floor,Portland,04101,,ME,207-774-6364,207-774-8707,www.wcyy.com,herb.ivy@townsquaremedia.com,Herb Ivy,,,,,,,,,,,,,,,
46,341,WKSQ,FM Station,233,,04/01/2022,,LICENSED,ELLSWORTH,ME,H,94.5,Y,,,,"BLUEBERRY BROADCASTING, LLC",P.O. BOX 2600,,KENNEBUNKPORT,04046,,ME,(207)967-8094,,,,87293,,,1581354,184 Target Industrial Circle,,Bangor,04401,,ME,(207)947-9100,,http://www.kissfm.net/,jackobrien@blueberrybroadcasting.com,,,,,,,,,,,,,,,,
47,9422,WQHR,FM Station,241,,04/01/2022,,LICENSED,PRESQUE ISLE,ME,H,96.1,Y,,,,"TOWNSQUARE MEDIA PRESQUE ISLE LICENSE, LLC",1 MANHATTANVILLE ROAD,SUITE 202,PURCHASE,10577,,NY,(203)861-0900,,,,1689676,,,,551 Main Street,,Presque Isle,04769,,ME,207 769-6600,207 764-5274,http://q961.com/,mark.shaw@townsquaremedia.com,Mark Shaw,,119,,,,,,,,,,,,,
48,4092,WVOM-FM,FM Station,280,,04/01/2022,05/07/2001,LICENSED,HOWLAND,ME,H,103.9,Y,,,,"BLUEBERRY BROADCASTING, LLC",P.O. BOX 2600,,KENNEBUNKPORT,04046,,ME,(207)967-8094,,,,1128648,,,1581372,184 Target Industrial Circle,,BANGOR,04401,,ME,(207)947-9100,,http://www.wvomfm.com/,jackobrien@blueberrybroadcasting.com,,,,,,,,,,,,,,,,
49,421,WJCX,FM Station,258,,04/01/2022,,LICENSED,PITTSFIELD,ME,ED,99.5,Y,,,,CALVARY CHAPEL OF BANGOR,154 RIVER ROAD,,ORRINGTON,04474,,ME,(207)991-9555,,,,1360254,,,1591765,154 River Road,,Orrington,04474,,ME,2073560118,,wjcx.com,wjcx99.5@ccbangor.org,Mike Archer,,,,,,,,,,,,,,,
50,6782,WCRQ,FM Station,275,,04/01/2022,,LICENSED,DENNYSVILLE,ME,H,102.9,Y,,,,"WQDY, INC.",637 MAIN STREET,,CALAIS,04619,,ME,(207)454-7545,,,,1534102,,,1596416,637 Main Street,,Calais,04619,,ME,207-454-7545,207-454-3062,www.wcrq.fm,bill@wqdy.fm,William McVicar,,,,,,,,,,,,,,,
51,3665,WHCF,FM Station,203,,04/01/2022,,LICENSED,BANGOR,ME,ED,88.5,Y,,,,"LIGHTHOUSE RADIO NETWORK, INC.",P.O. BOX 5000,,BANGOR,04402,,ME,(207)947-2751,,,,216689,,,1591960,PO Box 5000,,Bangor,04402,,ME,207-947-2751,207-947-0010,www.whcffm.com,tim@solutionfm.com,Timothy Collins,,,,,,,,,,,,,,,
