Date,Movie Title,,Member Ranks,,,,,,,,,,,,,"Member
Average","Member
Std. Dev",,Guest Ranks,,,,,,,,,,,,,,,,,,,,,,,"Overall
Average","Overall
Std. Dev",Recommender,,,,
10/1/2018,12 Years A Slave,2013,4.50,4.25,,,4.25,4.25,4.50,,,,4.25,4.25,4.50,4.35,0.14,,,,,,,,,,,,,,,4.25,,,,,,,,,,4.33,0.13,Chad,,,,
10/8/2018,"Lock, Stock, and Two Smoking Barrels",1998,3.75,4.25,,,3.50,,,,,,,3.25,2.00,3.83,0.38,,,,,,,,,,,,,,,,,,,3.00,,,,,,3.29,0.77,Mike,,,,
10/15/2018,Whiplash,2014,3.75,5.00,4.50,,4.50,4.00,4.75,,,4.50,4.50,4.75,4.50,4.42,0.47,,,,,,,,,,,,,,,4.25,,,,,,,,,,4.45,0.35,Fitz,,,,
10/22/2018,Network,1976,,4.25,,,4.25,3.25,3.75,,,3.25,2.50,4.75,4.50,3.81,0.76,,,,,,,,,,,,,,,,,,,,,,,,,3.81,0.76,Mike,,,,
10/29/2018,Annihilation,2018,4.25,3.75,,,2.75,,4.25,,,4.00,4.00,,3.00,3.71,0.60,,,,,,,,,,,,,,,,,,,,3.25,2.50,,,,3.53,0.67,Mike,,,,
11/5/2018,Sound of My Voice,2012,3.00,3.25,3.00,,,3.25,3.75,,,,2.75,4.25,4.50,3.47,0.63,,,,,,,,,,,,,,,4.75,,,,,,,3.00,,,3.55,0.71,Kaitlyn,,,,
11/12/2018,Safety Not Guaranteed,2012,3.00,2.75,3.25,,4.00,3.50,4.50,,,3.75,3.00,3.50,3.00,3.43,0.54,,,,,,,,,,,,,,,,,,,,,,,3.25,3.00,3.38,0.51,Fitz,,,,
11/19/2018,Eighth Grade ,2018,4.00,4.25,4.50,,,4.00,3.50,,,4.50,4.75,5.00,5.00,4.39,0.50,,,,,,,,,,,,,,,,,,,,,,,4.00,,4.35,0.49,Laurel,,,,
11/26/2018,Crazy Rich Asians,2018,3.50,2.75,4.25,,3.75,2.75,4.00,,,4.00,,,,3.57,0.61,,,,,,,,,,,,,,,,,,,,,,,5.00,,3.75,0.76,Laurel,,,,
12/3/2018,One of Us,2017,2.25,,4.50,,2.75,,4.50,,,3.50,3.25,4.00,2.50,3.41,0.88,,,,,,,,,,,,,,,,,,,,,,,,,3.41,0.88,Laurel,,,,
12/10/2018,A Ghost Story,2017,3.50,4.00,,,3.00,3.00,4.00,,,3.50,1.50,2.00,3.25,3.08,0.85,4.25,,,,,,,,,,,,,,3.75,,,,,,,,,,3.15,0.83,Mike,,,,
12/17/2018,Taxi Driver,1976,4.50,3.00,1.50,,4.25,4.25,2.75,,,,4.00,3.50,4.75,3.61,1.04,,,,,,,,,,,,,,,,,,,,,,,,,3.61,1.04,Mike,,,,
12/31/2018,Roma,2018,3.25,4.00,,,3.75,4.00,3.50,,,,,,4.00,3.75,0.32,,,,,4.50,,,,,,,4.00,,,,,,,,,,,,,3.88,0.38,Mike,,,,
1/7/2019,Cartel Land,2015,2.00,2.75,,,3.25,,4.75,,,4.50,4.50,5.00,4.75,3.94,1.12,,,,,,,,,,,,,,,,,,,,,,,,,3.94,1.12,Darren,,,,
1/14/2019,Babel,2006,3.75,2.00,3.75,,4.25,4.00,5.00,,,,4.25,4.50,,3.94,0.88,4.75,,,,,,,,,,,,,,,,,,,,,,,,3.94,0.88,Fitz,,,,
1/21/2019,They Shall Not Grow Old,2018,3.50,4.00,,,4.50,,4.00,,,4.00,5.00,3.50,3.50,4.00,0.53,,,,,,,,,,,,4.75,,,,,,,,,,,,,4.08,0.56,Katie ,,,,
1/28/2019,"Three Billboards Outside Ebbing, Missouri",2017,,3.00,,,,3.75,3.75,,,,3.50,,,3.50,0.35,,,,,,,,,,,,,,,,,,,,,,,,,3.50,0.35,Chad,,,,
2/4/2019,Loving Vincent ,2017,5.00,4.75,3.00,,4.75,,5.00,,,,2.50,4.50,4.00,4.19,0.95,4.75,,,,,,,,,,,,,,,,,,,,,,4.00,,4.17,0.89,Katie ,,,,
2/11/2019,Her,2013,4.00,5.00,,,4.00,4.00,4.50,,,,3.50,4.25,4.00,4.16,0.44,4.25,,,,,,,,,,,,,,,,,,,,,,,,4.16,0.44,Jasmine ,,,,
,,,3.71,3.82,3.73,3.57,3.81,3.76,4.11,3.52,3.80,4.05,3.60,4.07,3.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,0.67,0.66,0.81,0.72,0.50,0.42,0.72,0.72,0.72,0.45,0.97,0.90,0.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
