,area_fips,own_code,industry_code,agglvl_code,size_code,year,qtr,disclosure_code,annual_avg_estabs,annual_avg_emplvl,total_annual_wages,taxable_annual_wages,annual_contributions,annual_avg_wkly_wage,avg_annual_pay,lq_disclosure_code,lq_annual_avg_estabs,lq_annual_avg_emplvl,lq_total_annual_wages,lq_taxable_annual_wages,lq_annual_contributions,lq_annual_avg_wkly_wage,lq_avg_annual_pay,oty_disclosure_code,oty_annual_avg_estabs_chg,oty_annual_avg_estabs_pct_chg,oty_annual_avg_emplvl_chg,oty_annual_avg_emplvl_pct_chg,oty_total_annual_wages_chg,oty_total_annual_wages_pct_chg,oty_taxable_annual_wages_chg,oty_taxable_annual_wages_pct_chg,oty_annual_contributions_chg,oty_annual_contributions_pct_chg,oty_annual_avg_wkly_wage_chg,oty_annual_avg_wkly_wage_pct_chg,oty_avg_annual_pay_chg,oty_avg_annual_pay_pct_chg,area_title,industry_title
13,18000,5,511110,58,0,2018,A,,157,3841,139794459,40491183,608191,700,36396,,1.31,1.26,1.04,1.17,0.9,0.83,0.83,,-6,-3.7,-370,-8.8,-13800957,-9.0,-6372917,-13.6,-147372,-19.5,-1,-0.1,-77,-0.2,Indiana,NAICS 511110 Newspaper publishers
14,19000,5,511110,58,0,2018,A,,226,3136,112570635,72354188,879049,690,35892,,3.07,2.02,1.65,1.87,1.66,0.82,0.82,,-1,-0.4,-101,-3.1,-3869937,-3.3,-4336956,-5.7,-196145,-18.2,-2,-0.3,-78,-0.2,Iowa,NAICS 511110 Newspaper publishers
15,20000,5,511110,58,0,2018,A,,130,1316,40277547,17891635,178784,589,30610,,2.05,0.95,0.68,0.63,0.44,0.71,0.71,,-4,-3.0,-242,-15.5,-8596310,-17.6,-3975048,-18.2,13319,8.0,-14,-2.3,-770,-2.5,Kansas,NAICS 511110 Newspaper publishers
16,21000,5,511110,58,0,2018,A,,152,2137,76717922,22397007,401242,690,35901,,1.74,1.13,0.95,1.0,0.82,0.84,0.84,,2,1.3,-320,-13.0,-10479805,-12.0,-3487023,-13.5,-60661,-13.1,8,1.2,411,1.2,Kentucky,NAICS 511110 Newspaper publishers
17,22000,5,511110,58,0,2018,A,,102,1528,69447288,13638753,177662,874,45462,,1.08,0.79,0.81,0.73,0.56,1.02,1.02,,-1,-1.0,-191,-11.1,-7249776,-9.5,-1589227,-10.4,-41082,-18.8,16,1.9,845,1.9,Louisiana,NAICS 511110 Newspaper publishers
18,23000,5,511110,58,0,2018,A,,61,1114,39942202,14291216,114297,689,35849,,1.61,1.81,1.55,1.87,0.75,0.86,0.86,,-3,-4.7,-112,-9.1,-2863750,-6.7,-2353360,-14.1,-25174,-18.0,17,2.5,922,2.6,Maine,NAICS 511110 Newspaper publishers
19,24000,5,511110,58,0,2018,A,,75,1804,87462727,15950803,548986,932,48483,,0.61,0.67,0.58,0.56,0.89,0.86,0.86,,-4,-5.1,-186,-9.3,-10914547,-11.1,-2169308,-12.0,-96126,-14.9,-19,-2.0,-945,-1.9,Maryland,NAICS 511110 Newspaper publishers
20,25000,5,511110,58,0,2018,A,,146,4411,257380868,74595099,3365882,1122,58348,,0.79,1.23,1.07,1.12,1.54,0.87,0.87,,-8,-5.2,-568,-11.4,-28902694,-10.1,-5432998,-6.8,518010,18.2,16,1.4,853,1.5,Massachusetts,NAICS 511110 Newspaper publishers
21,26000,5,511110,58,0,2018,A,,191,3729,166702778,37433214,1344315,860,44710,,1.08,0.86,0.77,0.79,0.82,0.9,0.9,,-21,-9.9,-433,-10.4,-25582554,-13.3,-4634917,-11.0,-276796,-17.1,-28,-3.2,-1489,-3.2,Michigan,NAICS 511110 Newspaper publishers
22,27000,2,511110,58,0,2018,A,N,1,0,0,0,0,0,0,N,57.0,0.0,0.0,0.0,0.0,0.0,0.0,N,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,Minnesota,NAICS 511110 Newspaper publishers
23,27000,5,511110,58,0,2018,A,,275,3998,179006016,107494112,931416,861,44772,,2.19,1.38,1.16,1.41,0.96,0.84,0.84,,-5,-1.8,-361,-8.3,-10739643,-5.7,-7785185,-6.8,-88702,-8.7,24,2.9,1239,2.8,Minnesota,NAICS 511110 Newspaper publishers
24,28000,5,511110,58,0,2018,A,,107,1249,38055247,17613559,94073,586,30462,,2.03,1.1,0.92,1.08,0.95,0.83,0.83,,-3,-2.7,-164,-11.6,-3595200,-8.6,-1248961,-6.6,-33444,-26.2,19,3.4,977,3.3,Mississippi,NAICS 511110 Newspaper publishers
25,29000,5,511110,58,0,2018,A,,226,3232,120162963,40596017,276966,715,37179,,1.58,1.15,0.95,1.08,0.58,0.82,0.82,,-9,-3.8,-310,-8.8,-10049857,-7.7,-6447399,-13.7,-95155,-25.6,8,1.1,420,1.1,Missouri,NAICS 511110 Newspaper publishers
26,30000,5,511110,58,0,2018,A,,72,1012,35060122,25348476,198481,667,34662,,2.01,2.17,1.88,1.92,1.03,0.87,0.87,,0,0.0,-37,-3.5,-1795464,-4.9,-2246994,-8.1,85514,75.7,-9,-1.3,-483,-1.4,Montana,NAICS 511110 Newspaper publishers
27,31000,5,511110,58,0,2018,A,,133,1894,66174809,18129397,52048,672,34939,,2.6,1.93,1.58,1.82,0.51,0.82,0.82,,-5,-3.6,-214,-10.2,-2127424,-3.1,-1467110,-7.5,-9052,-14.8,49,7.9,2541,7.8,Nebraska,NAICS 511110 Newspaper publishers
28,32000,5,511110,58,0,2018,A,,34,700,37828553,20876438,526788,1039,54034,,0.59,0.51,0.6,0.51,0.58,1.17,1.17,,0,0.0,-93,-11.7,-2069471,-5.2,-1787450,-7.9,-93665,-15.1,71,7.3,3689,7.3,Nevada,NAICS 511110 Newspaper publishers
29,33000,5,511110,58,0,2018,A,,36,896,35227149,12964395,52124,756,39338,,0.96,1.36,1.02,1.35,0.58,0.75,0.75,,-3,-7.7,-23,-2.5,-1404534,-3.8,-378280,-2.8,-17004,-24.6,-11,-1.4,-537,-1.3,New Hampshire,NAICS 511110 Newspaper publishers
30,34000,5,511110,58,0,2018,A,,133,4106,289398615,130123995,3148728,1355,70482,,0.69,1.01,1.18,1.1,1.36,1.16,1.16,,-1,-0.7,-359,-8.0,-21853869,-7.0,-18764231,-12.6,-806655,-20.4,14,1.0,774,1.1,New Jersey,NAICS 511110 Newspaper publishers
31,35000,5,511110,58,0,2018,A,,42,938,33396974,21166543,175834,685,35598,,0.97,1.14,0.97,1.19,1.0,0.85,0.85,,0,0.0,-56,-5.6,-1343591,-3.9,-1352905,-6.0,-117671,-40.1,13,1.9,651,1.9,New Mexico,NAICS 511110 Newspaper publishers
32,36000,5,511110,58,0,2018,A,,382,13469,1196773041,175278783,4520090,1709,88855,,0.84,1.42,1.88,1.51,1.41,1.32,1.32,,-10,-2.6,-714,-5.0,53672548,4.7,3220148,1.9,-903696,-16.7,159,10.3,8257,10.2,New York,NAICS 511110 Newspaper publishers
33,37000,5,511110,58,0,2018,A,,200,3506,131883215,77087130,551224,723,37616,,1.01,0.79,0.64,0.8,0.86,0.8,0.8,,-11,-5.2,-486,-12.2,-16262648,-11.0,-9583343,-11.1,-551866,-50.0,9,1.3,502,1.4,North Carolina,NAICS 511110 Newspaper publishers
34,38000,3,511110,58,0,2018,A,N,1,0,0,0,0,0,0,N,314.01,0.0,0.0,0.0,0.0,0.0,0.0,N,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,North Dakota,NAICS 511110 Newspaper publishers
35,38000,5,511110,58,0,2018,A,,71,892,34031759,24669996,178182,733,38138,,3.11,2.13,1.68,2.08,1.06,0.79,0.79,,0,0.0,-48,-5.1,-1837043,-5.1,-1584126,-6.0,9086,5.4,0,0.0,-3,0.0,North Dakota,NAICS 511110 Newspaper publishers
36,39000,5,511110,58,0,2018,A,,246,5781,281732275,62384626,1672286,937,48736,,1.16,1.07,1.11,1.06,1.14,1.04,1.04,,-8,-3.1,-725,-11.1,-24317544,-7.9,-5338711,-7.9,-400780,-19.3,32,3.5,1696,3.6,Ohio,NAICS 511110 Newspaper publishers
37,40000,5,511110,58,0,2018,A,,142,2075,71946780,36218989,556850,667,34675,,1.8,1.29,1.04,1.16,1.71,0.8,0.8,,-6,-4.1,-309,-13.0,-9237353,-11.4,-4695505,-11.5,-31495,-5.4,12,1.8,619,1.8,Oklahoma,NAICS 511110 Newspaper publishers
38,41000,5,511110,58,0,2018,A,,104,1950,77200319,58693326,1287534,761,39588,,0.94,1.01,0.82,1.0,1.04,0.81,0.81,,-6,-5.5,-206,-9.6,-7109937,-8.4,-4511072,-7.1,-338515,-20.8,9,1.2,474,1.2,Oregon,NAICS 511110 Newspaper publishers
39,42000,5,511110,58,0,2018,A,,259,7446,332170753,80353096,4690772,858,44613,,1.02,1.27,1.1,1.23,1.29,0.87,0.87,,-12,-4.4,-840,-10.1,-29657307,-8.2,-9638354,-10.7,-912099,-16.3,18,2.1,947,2.2,Pennsylvania,NAICS 511110 Newspaper publishers
40,44000,5,511110,58,0,2018,A,,29,547,24699999,11837194,134499,869,45197,,1.07,1.13,1.03,1.16,0.46,0.91,0.91,,-2,-6.5,-118,-17.7,-2750311,-10.0,-2127541,-15.2,-52318,-28.0,75,9.4,3892,9.4,Rhode Island,NAICS 511110 Newspaper publishers
41,45000,5,511110,58,0,2018,A,,107,2089,82393011,30276369,623868,759,39449,,1.13,1.0,0.95,0.95,1.32,0.96,0.96,,-4,-3.6,-184,-8.1,-7163898,-8.0,-4810277,-13.7,-137981,-18.1,1,0.1,52,0.1,South Carolina,NAICS 511110 Newspaper publishers
42,46000,5,511110,58,0,2018,A,,89,904,27299632,12537886,48042,581,30188,,3.69,2.11,1.58,2.05,1.26,0.75,0.75,,-4,-4.3,-79,-8.0,-1672950,-5.8,-941228,-7.0,-12777,-21.0,14,2.5,722,2.5,South Dakota,NAICS 511110 Newspaper publishers
43,47000,5,511110,58,0,2018,A,,144,2913,117049161,23796857,147215,773,40182,,1.25,0.98,0.84,0.86,0.44,0.86,0.86,,-4,-2.7,-433,-12.9,-18410593,-13.6,-6847260,-22.3,-368401,-71.4,-6,-0.8,-300,-0.7,Tennessee,NAICS 511110 Newspaper publishers
44,48000,5,511110,58,0,2018,A,,471,7720,399685197,81469808,2828129,996,51776,,0.95,0.63,0.61,0.57,0.84,0.97,0.97,,-19,-3.9,-966,-11.1,-36486189,-8.4,-9924833,-10.9,-960726,-25.4,30,3.1,1560,3.1,Texas,NAICS 511110 Newspaper publishers
45,49000,5,511110,58,0,2018,A,,45,1059,48254699,32034843,182416,877,45588,,0.61,0.71,0.73,0.78,0.82,1.02,1.02,,-3,-6.2,-128,-10.8,-2329673,-4.6,-1007263,-3.0,-45073,-19.8,57,7.0,2964,7.0,Utah,NAICS 511110 Newspaper publishers
46,50000,5,511110,58,0,2018,A,,42,484,18650538,8782402,314345,742,38561,,2.29,1.56,1.36,1.83,1.9,0.88,0.88,,-1,-2.3,-43,-8.2,-1278251,-6.4,-421069,-4.6,-15565,-4.7,14,1.9,710,1.9,Vermont,NAICS 511110 Newspaper publishers
47,51000,5,511110,58,0,2018,A,,180,4457,281287852,41909374,798567,1214,63110,,0.9,1.14,1.34,1.12,1.42,1.17,1.18,,1,0.6,115,2.6,62020411,28.3,4101070,10.8,-18718,-2.3,243,25.0,12610,25.0,Virginia,NAICS 511110 Newspaper publishers
48,53000,5,511110,58,0,2018,A,,121,2900,137569291,104637405,1114073,912,47435,,0.68,0.86,0.67,0.88,0.81,0.78,0.78,,-9,-6.9,-365,-11.2,-13948999,-9.2,-10026759,-8.7,-214561,-16.1,19,2.1,1022,2.2,Washington,NAICS 511110 Newspaper publishers
49,54000,5,511110,58,0,2018,A,,68,1309,38472546,19098849,338955,565,29395,,1.86,1.88,1.3,2.17,1.16,0.69,0.69,,-2,-2.9,-155,-10.6,-3138697,-7.5,740668,4.0,40507,13.6,18,3.3,962,3.4,West Virginia,NAICS 511110 Newspaper publishers
50,55000,5,511110,58,0,2018,A,,173,3375,121804695,47122130,623227,694,36095,,1.38,1.17,0.94,1.13,0.78,0.8,0.8,,-13,-7.0,-496,-12.8,-19778469,-14.0,-7304222,-13.4,-344951,-35.6,-9,-1.3,-481,-1.3,Wisconsin,NAICS 511110 Newspaper publishers
51,56000,5,511110,58,0,2018,A,,39,719,20672270,14306921,126853,553,28735,,2.07,2.63,1.71,2.38,1.22,0.65,0.65,,0,0.0,-61,-7.8,-909834,-4.2,-958008,-6.3,3026,2.4,21,3.9,1072,3.9,Wyoming,NAICS 511110 Newspaper publishers
52,72000,5,511110,58,0,2018,A,,12,1459,46311035,9779770,255302,611,31749,,0.37,1.69,2.02,1.58,1.2,1.2,1.2,,-2,-14.3,-55,-3.6,-8667300,-15.8,1636,0.0,-24446,-8.7,-87,-12.5,-4558,-12.6,Puerto Rico,NAICS 511110 Newspaper publishers
53,1000,5,511110,58,0,2017,A,,131,2054,81595600,18556537,289327,764,39727,,1.39,0.95,0.88,0.88,0.85,0.93,0.93,,-4,-3.0,-124,-5.7,-2282462,-2.7,-1478788,-7.4,25165,9.5,23,3.1,1207,3.1,Alabama,NAICS 511110 Newspaper publishers
54,2000,5,511110,58,0,2017,A,,23,461,16730762,14622829,224542,698,36299,,1.4,1.28,0.93,1.33,1.08,0.73,0.73,,-2,-8.0,-44,-8.7,-1708396,-9.3,-531403,-3.5,-44830,-16.6,-4,-0.6,-220,-0.6,Alaska,NAICS 511110 Newspaper publishers
55,4000,5,511110,58,0,2017,A,,84,2354,106899011,19092435,476972,873,45416,,0.71,0.77,0.75,0.66,0.65,0.98,0.98,,-6,-6.7,-514,-17.9,-24930351,-18.9,-4877854,-20.3,-75839,-13.7,-11,-1.2,-546,-1.2,Arizona,NAICS 511110 Newspaper publishers
56,5000,5,511110,58,0,2017,A,,92,1986,61049346,24650685,294733,591,30733,,1.37,1.48,1.14,1.37,0.85,0.77,0.77,,-6,-6.1,-146,-6.8,-4474513,-6.8,-1384649,-5.3,-154495,-34.4,0,0.0,-2,0.0,Arkansas,NAICS 511110 Newspaper publishers
57,6000,5,511110,58,0,2017,A,,499,11113,657280004,88216290,4918146,1137,59143,,0.44,0.58,0.57,0.49,0.57,0.97,0.97,,-17,-3.3,-1113,-9.1,-55581651,-7.8,-16265957,-15.6,-1106616,-18.4,16,1.4,834,1.4,California,NAICS 511110 Newspaper publishers
58,8000,5,511110,58,0,2017,A,,131,2726,133605889,37946294,936528,943,49015,,0.88,0.94,0.87,0.82,0.94,0.93,0.93,,-6,-4.4,-225,-7.6,-11720399,-8.1,-2013418,-5.0,-92518,-9.0,-4,-0.4,-236,-0.5,Colorado,NAICS 511110 Newspaper publishers
59,9000,5,511110,58,0,2017,A,,64,1935,91167779,32505831,1683187,906,47123,,0.72,1.04,0.79,1.11,1.48,0.76,0.76,,-2,-3.0,-288,-13.0,-16187824,-15.1,-5072845,-13.5,-316646,-15.8,-23,-2.5,-1161,-2.4,Connecticut,NAICS 511110 Newspaper publishers
60,10000,5,511110,58,0,2017,A,,15,460,21713635,8996079,144094,907,47161,,0.62,0.93,0.85,1.0,0.99,0.91,0.91,,-1,-6.2,-27,-5.5,599648,2.8,97435,1.1,-42392,-22.7,73,8.8,3784,8.7,Delaware,NAICS 511110 Newspaper publishers
61,12000,5,511110,58,0,2017,A,,313,7497,370228960,64707336,1126148,950,49381,,0.62,0.79,0.87,0.72,1.04,1.1,1.1,,-13,-4.0,-1016,-11.9,-37590492,-9.2,-6818485,-9.5,-455795,-28.8,29,3.1,1474,3.1,Florida,NAICS 511110 Newspaper publishers
62,13000,5,511110,58,0,2017,A,,212,4866,546911222,53967332,1263765,2161,112387,,1.03,1.0,2.33,0.92,1.19,2.32,2.32,,-7,-3.2,-193,-3.8,169145454,44.8,825074,1.6,-145456,-10.3,725,50.5,37720,50.5,Georgia,NAICS 511110 Newspaper publishers
63,15000,5,511110,58,0,2017,A,,16,670,37296586,25932175,173806,1070,55653,,0.52,0.92,1.11,1.2,0.71,1.21,1.21,,1,6.7,-56,-7.7,-2406040,-6.1,-957505,-3.6,35089,25.3,18,1.7,941,1.7,Hawaii,NAICS 511110 Newspaper publishers
64,16000,5,511110,58,0,2017,A,,74,1036,42976840,29007862,226574,798,41473,,1.61,1.31,1.42,1.36,0.85,1.08,1.08,,5,7.2,-99,-8.7,-1603853,-3.6,-1382106,-4.5,-19889,-8.1,43,5.7,2201,5.6,Idaho,NAICS 511110 Newspaper publishers
65,17000,5,511110,58,0,2017,A,,296,6290,317897471,85368705,3276918,972,50541,,1.08,0.95,0.89,0.9,1.12,0.94,0.94,,-42,-12.4,-723,-10.3,-22209832,-6.5,-8461407,-9.0,-352995,-9.7,39,4.2,2041,4.2,Illinois,NAICS 511110 Newspaper publishers
66,18000,5,511110,58,0,2017,A,,163,4211,153595416,46864100,755563,701,36473,,1.31,1.25,1.06,1.22,0.91,0.85,0.85,,-7,-4.1,-385,-8.4,-6491927,-4.1,-1534974,-3.2,-153112,-16.9,31,4.6,1639,4.7,Indiana,NAICS 511110 Newspaper publishers
67,19000,5,511110,58,0,2017,A,,227,3237,116440572,76691144,1075194,692,35970,,2.97,1.88,1.58,1.82,1.49,0.84,0.84,,-15,-6.2,-363,-10.1,-11879129,-9.3,-3749467,-4.7,-134458,-11.1,7,1.0,328,0.9,Iowa,NAICS 511110 Newspaper publishers
68,20000,5,511110,58,0,2017,A,,134,1558,48873857,21866683,165465,603,31380,,2.0,1.02,0.76,0.71,0.43,0.75,0.75,,-6,-4.3,-271,-14.8,-11218263,-18.7,-3567093,-14.0,-49462,-23.0,-29,-4.6,-1468,-4.5,Kansas,NAICS 511110 Newspaper publishers
69,21000,5,511110,58,0,2017,A,,150,2457,87197727,25884030,461903,682,35490,,1.64,1.17,0.99,1.05,0.67,0.85,0.85,,-14,-8.5,-522,-17.5,-11190345,-11.4,-5511090,-17.6,-395854,-46.1,47,7.4,2466,7.5,Kentucky,NAICS 511110 Newspaper publishers
70,22000,5,511110,58,0,2017,A,,103,1719,76697064,15227980,218744,858,44617,,1.05,0.81,0.83,0.73,0.61,1.03,1.03,,-4,-3.7,-189,-9.9,-9392289,-10.9,-2823881,-15.6,-25345,-10.4,-10,-1.2,-513,-1.1,Louisiana,NAICS 511110 Newspaper publishers
71,23000,5,511110,58,0,2017,A,,64,1226,42805952,16644576,139471,672,34927,,1.58,1.8,1.55,1.99,0.84,0.86,0.86,,-3,-4.5,-72,-5.5,-2337566,-5.2,750617,4.7,-33337,-19.3,3,0.4,154,0.4,Maine,NAICS 511110 Newspaper publishers
72,24000,5,511110,58,0,2017,A,,79,1990,98377274,18120111,645112,951,49428,,0.61,0.67,0.6,0.61,0.87,0.89,0.89,,-7,-8.1,-293,-12.8,-13213252,-11.8,-1922885,-9.6,-86115,-11.8,11,1.2,554,1.1,Maryland,NAICS 511110 Newspaper publishers
73,25000,5,511110,58,0,2017,A,,154,4979,286283562,80028097,2847872,1106,57495,,0.81,1.26,1.12,1.09,1.33,0.89,0.89,,0,0.0,-387,-7.2,-15629532,-5.2,-5432157,-6.4,-213519,-7.0,24,2.2,1234,2.2,Massachusetts,NAICS 511110 Newspaper publishers
74,26000,5,511110,58,0,2017,A,,212,4162,192285332,42068131,1621111,888,46199,,1.15,0.87,0.82,0.81,0.85,0.95,0.95,,-1,-0.5,-665,-13.8,-26347899,-12.1,-6329289,-13.1,-468914,-22.4,17,2.0,905,2.0,Michigan,NAICS 511110 Newspaper publishers
75,27000,2,511110,58,0,2017,A,N,1,0,0,0,0,0,0,N,58.61,0.0,0.0,0.0,0.0,0.0,0.0,N,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,Minnesota,NAICS 511110 Newspaper publishers
76,27000,5,511110,58,0,2017,A,,280,4359,189745659,115279297,1020118,837,43533,,2.22,1.37,1.14,1.38,0.89,0.84,0.84,,10,3.7,-220,-4.8,-5803626,-3.0,-1124835,-1.0,-212595,-17.2,16,1.9,828,1.9,Minnesota,NAICS 511110 Newspaper publishers
77,28000,5,511110,58,0,2017,A,,110,1413,41650447,18862520,127517,567,29485,,2.0,1.12,0.92,1.04,1.01,0.82,0.82,,-4,-3.5,-107,-7.0,-1988693,-4.6,-1221344,-6.1,-49758,-28.1,15,2.7,783,2.7,Mississippi,NAICS 511110 Newspaper publishers
78,29000,5,511110,58,0,2017,A,,235,3542,130212820,47043416,372121,707,36759,,1.52,1.14,0.95,1.09,0.6,0.84,0.84,,-2,-0.8,-295,-7.7,-9712380,-6.9,-4187402,-8.2,-209856,-36.1,6,0.9,291,0.8,Missouri,NAICS 511110 Newspaper publishers
79,30000,5,511110,58,0,2017,A,,72,1049,36855586,27595470,112967,676,35145,,1.96,2.04,1.84,1.92,0.64,0.9,0.9,,2,2.9,-65,-5.8,-2090743,-5.4,-581486,-2.1,16089,16.6,4,0.6,192,0.5,Montana,NAICS 511110 Newspaper publishers
80,31000,5,511110,58,0,2017,A,,138,2108,68302233,19596507,61100,623,32398,,2.53,1.94,1.51,1.76,0.56,0.78,0.78,,0,0.0,-155,-6.8,-4453652,-6.1,-1770463,-8.3,-17090,-21.9,5,0.8,241,0.7,Nebraska,NAICS 511110 Newspaper publishers
81,32000,5,511110,58,0,2017,A,,34,793,39898024,22663888,620453,968,50345,,0.57,0.54,0.6,0.53,0.65,1.13,1.13,,-2,-5.6,34,4.5,3021676,8.2,1084014,5.0,30456,5.2,34,3.6,1754,3.6,Nevada,NAICS 511110 Newspaper publishers
82,33000,5,511110,58,0,2017,A,,39,919,36631683,13342675,69128,767,39875,,1.0,1.26,0.98,1.26,0.68,0.78,0.78,,0,0.0,-56,-5.7,-1261904,-3.3,-213556,-1.6,-29835,-30.1,19,2.5,990,2.5,New Hampshire,NAICS 511110 Newspaper publishers
83,34000,5,511110,58,0,2017,A,,134,4465,311252484,148888226,3955383,1341,69708,,0.67,1.0,1.17,1.15,1.46,1.17,1.17,,-9,-6.3,-890,-16.6,-31059922,-9.1,-29210008,-16.4,-1467571,-27.1,112,9.1,5788,9.1,New Jersey,NAICS 511110 Newspaper publishers
84,35000,5,511110,58,0,2017,A,,42,994,34740565,22519448,293505,672,34947,,0.96,1.1,0.95,1.18,1.22,0.87,0.87,,-4,-8.7,-84,-7.8,-2794907,-7.4,-2029085,-8.3,-614386,-67.7,2,0.3,133,0.4,New Mexico,NAICS 511110 Newspaper publishers
85,36000,5,511110,58,0,2017,A,,392,14183,1143100493,172058635,5423786,1550,80598,,0.82,1.37,1.68,1.38,1.33,1.23,1.23,,12,3.2,-488,-3.3,-43227006,-3.6,-7001802,-3.9,-872659,-13.9,-5,-0.3,-266,-0.3,New York,NAICS 511110 Newspaper publishers
86,37000,5,511110,58,0,2017,A,,211,3992,148145863,86670473,1103090,714,37114,,1.03,0.83,0.68,0.84,0.93,0.82,0.82,,4,1.9,-474,-10.6,-17454276,-10.5,-9202688,-9.6,-572780,-34.2,1,0.1,34,0.1,North Carolina,NAICS 511110 Newspaper publishers
