State,Year,(R01) Total Revenue,(E087) Police Prot-Direct Exp,(E088) Police Prot-Cur Oper (E62),(E089) Police Prot-Cap Outlay
Massachusetts,1978,"$22,389,994 ","$1,158,192 ","$1,115,755 ","$42,437 "
Massachusetts,1979,"$23,150,473 ","$1,116,900 ","$1,083,549 ","$33,351 "
Massachusetts,1980,"$21,184,529 ","$1,054,224 ","$1,020,026 ","$34,198 "
Massachusetts,1981,"$20,512,904 ","$999,219 ","$961,561 ","$37,658 "
Massachusetts,1982,"$19,527,689 ","$905,796 ","$890,510 ","$15,286 "
Massachusetts,1983,"$20,363,536 ","$951,991 ","$927,243 ","$24,748 "
Massachusetts,1984,"$20,709,733 ","$990,705 ","$965,242 ","$25,463 "
Massachusetts,1985,"$21,626,108 ","$1,007,543 ","$972,375 ","$35,169 "
Massachusetts,1986,"$22,861,707 ","$1,067,947 ","$1,031,575 ","$36,372 "
Massachusetts,1987,"$24,072,269 ","$1,128,370 ","$1,085,321 ","$43,049 "
Massachusetts,1988,"$24,418,113 ","$1,223,414 ","$1,159,326 ","$64,088 "
Massachusetts,1989,"$25,193,843 ","$1,283,122 ","$1,215,910 ","$67,212 "
Massachusetts,1990,"$25,308,685 ","$1,309,310 ","$1,235,619 ","$73,692 "
Massachusetts,1991,"$24,942,155 ","$1,228,597 ","$1,177,690 ","$50,906 "
Massachusetts,1992,"$24,330,709 ","$1,176,262 ","$1,134,762 ","$41,499 "
Massachusetts,1993,"$24,760,938 ","$1,147,501 ","$1,119,691 ","$27,810 "
Massachusetts,1994,"$25,853,190 ","$1,197,158 ","$1,158,438 ","$38,720 "
Massachusetts,1995,"$25,938,029 ","$1,271,923 ","$1,222,866 ","$49,058 "
Massachusetts,1996,"$27,973,032 ","$1,350,756 ","$1,257,923 ","$92,833 "
Massachusetts,1997,"$27,864,910 ","$1,377,481 ","$1,263,093 ","$114,388 "
Massachusetts,1998,"$28,998,609 ","$1,406,267 ","$1,328,968 ","$77,299 "
Massachusetts,1999,"$29,981,959 ","$1,488,654 ","$1,430,227 ","$58,427 "
Massachusetts,2000,"$30,493,058 ","$1,547,864 ","$1,464,218 ","$83,647 "
Massachusetts,2002,"$31,887,628 ","$1,573,057 ","$1,543,189 ","$29,868 "
Massachusetts,2004,"$35,505,094 ","$1,499,396 ","$1,474,029 ","$25,367 "
Massachusetts,2005,"$36,126,509 ","$1,520,717 ","$1,497,320 ","$23,396 "
Massachusetts,2006,"$37,689,744 ","$1,545,912 ","$1,519,504 ","$26,408 "
Massachusetts,2007,"$36,617,685 ","$1,608,594 ","$1,572,089 ","$36,505 "
Massachusetts,2008,"$35,819,801 ","$1,606,658 ","$1,561,639 ","$45,019 "
Massachusetts,2009,"$32,136,488 ","$1,701,828 ","$1,664,450 ","$37,377 "
Massachusetts,2010,"$39,049,705 ","$1,595,833 ","$1,546,292 ","$49,541 "
Massachusetts,2011,"$36,375,802 ","$1,554,470 ","$1,518,165 ","$36,305 "
Massachusetts,2012,"$35,309,488 ","$1,535,799 ","$1,499,997 ","$35,802 "
Massachusetts,2013,"$35,755,689 ","$1,580,187 ","$1,542,858 ","$37,329 "
Massachusetts,2014,"$37,078,121 ","$1,612,213 ","$1,574,944 ","$37,269 "
Massachusetts,2015,"$36,279,331 ","$1,655,207 ","$1,610,097 ","$45,109 "
Massachusetts,2016,"$35,844,980 ","$1,711,032 ","$1,670,614 ","$40,418 "
Massachusetts,2017,"$38,152,623 ","$1,729,029 ","$1,678,672 ","$50,357 "
New Hampshire,1977,"$2,112,348 ","$100,293 ","$88,959 ","$11,334 "
New Hampshire,1978,"$2,049,354 ","$94,018 ","$88,533 ","$5,485 "
New Hampshire,1979,"$2,086,224 ","$96,839 ","$92,241 ","$4,599 "
New Hampshire,1980,"$2,079,858 ","$95,347 ","$92,107 ","$3,240 "
New Hampshire,1981,"$2,036,092 ","$97,077 ","$93,903 ","$3,174 "
New Hampshire,1982,"$2,118,220 ","$102,595 ","$99,133 ","$3,462 "
New Hampshire,1983,"$2,187,159 ","$109,967 ","$106,583 ","$3,384 "
New Hampshire,1984,"$2,220,112 ","$114,079 ","$110,903 ","$3,175 "
New Hampshire,1985,"$2,333,513 ","$120,428 ","$112,997 ","$7,431 "
New Hampshire,1986,"$2,512,851 ","$125,204 ","$120,578 ","$4,625 "
New Hampshire,1987,"$2,828,627 ","$144,202 ","$137,397 ","$6,806 "
New Hampshire,1988,"$3,041,247 ","$157,210 ","$149,502 ","$7,708 "
New Hampshire,1989,"$3,334,407 ","$166,527 ","$159,630 ","$6,897 "
New Hampshire,1990,"$3,445,485 ","$179,345 ","$171,320 ","$8,025 "
New Hampshire,1991,"$3,723,355 ","$186,478 ","$177,372 ","$9,107 "
New Hampshire,1992,"$3,679,201 ","$199,094 ","$196,949 ","$2,145 "
New Hampshire,1993,"$3,704,711 ","$181,655 ","$179,903 ","$1,752 "
New Hampshire,1994,"$3,753,910 ","$182,591 ","$180,305 ","$2,286 "
New Hampshire,1995,"$3,759,086 ","$183,181 ","$181,008 ","$2,173 "
New Hampshire,1996,"$3,872,223 ","$187,702 ","$184,951 ","$2,751 "
New Hampshire,1997,"$3,978,754 ","$186,239 ","$185,126 ","$1,113 "
New Hampshire,1998,"$4,026,713 ","$199,678 ","$198,161 ","$1,517 "
New Hampshire,1999,"$4,361,204 ","$207,419 ","$205,551 ","$1,869 "
New Hampshire,2000,"$4,561,979 ","$211,623 ","$209,986 ","$1,637 "
New Hampshire,2002,"$4,793,480 ","$238,668 ","$236,783 ","$1,886 "
New Hampshire,2004,"$5,271,205 ","$262,949 ","$260,100 ","$2,850 "
New Hampshire,2005,"$5,377,202 ","$269,273 ","$267,062 ","$2,211 "
New Hampshire,2006,"$5,484,030 ","$279,825 ","$277,783 ","$2,041 "
New Hampshire,2007,"$5,601,189 ","$292,940 ","$290,457 ","$2,483 "
New Hampshire,2008,"$5,660,464 ","$303,287 ","$294,998 ","$8,288 "
New Hampshire,2009,"$5,855,790 ","$311,038 ","$309,297 ","$1,741 "
New Hampshire,2010,"$5,963,716 ","$337,486 ","$331,307 ","$6,179 "
New Hampshire,2011,"$5,912,556 ","$322,781 ","$320,279 ","$2,502 "
New Hampshire,2012,"$5,755,315 ","$314,820 ","$314,081 ",$739 
New Hampshire,2013,"$6,327,073 ","$327,098 ","$325,566 ","$1,532 "
New Hampshire,2014,"$6,100,186 ","$354,543 ","$351,684 ","$2,859 "
New Hampshire,2015,"$6,313,408 ","$350,598 ","$337,774 ","$12,824 "
New Hampshire,2016,"$6,328,588 ","$338,609 ","$335,710 ","$2,899 "
New Hampshire,2017,"$6,534,414 ","$349,417 ","$347,178 ","$2,239 "
New Jersey,1977,"$27,527,150 ","$1,540,927 ","$1,511,149 ","$29,778 "
New Jersey,1978,"$26,807,256 ","$1,488,427 ","$1,461,648 ","$26,779 "
New Jersey,1979,"$27,384,908 ","$1,425,879 ","$1,398,248 ","$27,632 "
New Jersey,1980,"$24,518,170 ","$1,357,813 ","$1,313,085 ","$44,728 "
New Jersey,1981,"$24,835,874 ","$1,348,888 ","$1,324,244 ","$24,644 "
New Jersey,1982,"$24,874,623 ","$1,367,129 ","$1,350,520 ","$16,610 "
New Jersey,1983,"$25,580,413 ","$1,603,653 ","$1,587,250 ","$16,403 "
New Jersey,1984,"$26,296,863 ","$1,463,272 ","$1,445,927 ","$17,345 "
New Jersey,1985,"$27,022,188 ","$1,532,574 ","$1,510,787 ","$21,787 "
New Jersey,1986,"$28,917,598 ","$1,630,193 ","$1,596,422 ","$33,771 "
New Jersey,1987,"$30,496,752 ","$1,698,177 ","$1,655,373 ","$42,803 "
New Jersey,1988,"$31,058,832 ","$1,792,339 ","$1,752,606 ","$39,733 "
New Jersey,1989,"$33,123,902 ","$1,792,497 ","$1,761,537 ","$30,960 "
New Jersey,1990,"$33,584,283 ","$1,816,832 ","$1,784,888 ","$31,944 "
New Jersey,1991,"$34,187,322 ","$1,859,446 ","$1,819,885 ","$39,561 "
New Jersey,1992,"$38,050,928 ","$2,348,664 ","$2,292,594 ","$56,070 "
New Jersey,1993,"$37,874,538 ","$2,034,157 ","$1,979,996 ","$54,160 "
New Jersey,1994,"$39,191,870 ","$2,333,877 ","$2,294,929 ","$38,948 "
New Jersey,1995,"$39,216,356 ","$2,437,410 ","$2,367,729 ","$69,681 "
New Jersey,1996,"$40,033,684 ","$2,433,982 ","$2,355,692 ","$78,290 "
New Jersey,1997,"$38,741,763 ","$2,336,189 ","$2,302,347 ","$33,842 "
New Jersey,1998,"$41,998,634 ","$2,513,205 ","$2,460,196 ","$53,009 "
New Jersey,1999,"$41,892,596 ","$2,480,943 ","$2,445,101 ","$35,841 "
New Jersey,2000,"$41,470,093 ","$2,604,110 ","$2,564,146 ","$39,964 "
New Jersey,2002,"$44,266,639 ","$2,829,301 ","$2,797,898 ","$31,402 "
New Jersey,2004,"$46,270,497 ","$2,959,703 ","$2,917,311 ","$42,392 "
New Jersey,2005,"$48,074,082 ","$2,960,022 ","$2,907,906 ","$52,115 "
New Jersey,2006,"$48,477,913 ","$3,045,916 ","$2,998,819 ","$47,097 "
New Jersey,2007,"$48,717,746 ","$3,033,672 ","$2,998,297 ","$35,375 "
New Jersey,2008,"$49,203,490 ","$2,989,707 ","$2,963,396 ","$26,312 "
New Jersey,2009,"$51,636,387 ","$3,210,250 ","$3,153,441 ","$56,809 "
New Jersey,2010,"$52,209,156 ","$3,194,494 ","$3,157,931 ","$36,563 "
New Jersey,2011,"$50,572,625 ","$3,087,310 ","$3,036,483 ","$50,827 "
New Jersey,2012,"$50,151,994 ","$2,970,330 ","$2,934,690 ","$35,639 "
New Jersey,2013,"$50,037,997 ","$2,985,642 ","$2,956,287 ","$29,356 "
New Jersey,2014,"$50,260,573 ","$2,921,454 ","$2,889,935 ","$31,519 "
New Jersey,2015,"$50,629,608 ","$2,909,436 ","$2,879,732 ","$29,704 "
New Jersey,2016,"$50,661,251 ","$2,989,270 ","$2,962,109 ","$27,161 "
New Jersey,2017,"$50,429,684 ","$2,942,131 ","$2,916,902 ","$25,229 "
New York,1977,"$117,075,351 ","$4,885,990 ","$4,797,828 ","$88,162 "
New York,1978,"$112,216,981 ","$4,715,883 ","$4,638,543 ","$77,341 "
New York,1979,"$105,455,469 ","$4,345,171 ","$4,251,157 ","$94,013 "
New York,1980,"$98,853,472 ","$4,137,289 ","$4,028,693 ","$108,596 "
New York,1981,"$95,347,454 ","$4,012,512 ","$3,895,008 ","$117,504 "
New York,1982,"$96,777,925 ","$4,144,944 ","$4,010,918 ","$134,026 "
New York,1983,"$102,071,950 ","$4,383,107 ","$4,226,457 ","$156,650 "
New York,1984,"$103,621,371 ","$4,603,446 ","$4,432,989 ","$170,456 "
New York,1985,"$112,042,742 ","$4,925,960 ","$4,745,619 ","$180,341 "
New York,1986,"$119,147,829 ","$5,233,867 ","$5,046,538 ","$187,329 "
New York,1987,"$124,874,597 ","$5,509,821 ","$5,325,320 ","$184,500 "
New York,1988,"$126,865,838 ","$5,674,795 ","$5,490,124 ","$184,671 "
New York,1989,"$126,660,915 ","$5,669,560 ","$5,439,203 ","$230,357 "
New York,1990,"$129,108,543 ","$5,865,178 ","$5,642,704 ","$222,474 "
New York,1991,"$134,674,631 ","$5,857,106 ","$5,571,059 ","$286,047 "
New York,1992,"$139,312,563 ","$6,005,110 ","$5,776,135 ","$228,975 "
New York,1993,"$136,893,563 ","$6,010,848 ","$5,785,717 ","$225,130 "
New York,1994,"$136,643,690 ","$6,008,118 ","$5,820,884 ","$187,234 "
New York,1995,"$140,544,086 ","$6,326,346 ","$5,965,722 ","$360,624 "
New York,1996,"$142,764,301 ","$6,685,794 ","$6,352,431 ","$333,363 "
New York,1997,"$147,276,522 ","$7,001,895 ","$6,641,575 ","$360,320 "
New York,1998,"$157,513,270 ","$7,145,613 ","$6,924,732 ","$220,882 "
New York,1999,"$154,887,460 ","$7,544,963 ","$7,178,951 ","$366,012 "
New York,2000,"$164,094,084 ","$7,537,319 ","$7,252,139 ","$285,180 "
New York,2002,"$148,292,458 ","$8,381,529 ","$8,099,536 ","$281,993 "
New York,2004,"$174,220,796 ","$8,069,955 ","$7,765,254 ","$304,701 "
New York,2005,"$174,135,201 ","$8,475,010 ","$8,127,260 ","$347,749 "
New York,2006,"$180,826,216 ","$8,346,500 ","$8,057,831 ","$288,669 "
New York,2007,"$196,554,937 ","$8,129,220 ","$7,833,142 ","$296,078 "
New York,2008,"$172,252,820 ","$8,407,838 ","$8,051,451 ","$356,387 "
New York,2009,"$160,005,019 ","$8,722,421 ","$8,432,947 ","$289,474 "
New York,2010,"$197,206,699 ","$8,865,078 ","$8,525,926 ","$339,152 "
New York,2011,"$192,727,831 ","$8,980,409 ","$8,653,472 ","$326,937 "
New York,2012,"$183,993,595 ","$9,060,581 ","$8,590,325 ","$470,256 "
New York,2013,"$203,868,517 ","$8,963,923 ","$8,421,353 ","$542,571 "
New York,2014,"$218,052,009 ","$8,942,746 ","$8,425,022 ","$517,724 "
New York,2015,"$201,283,317 ","$9,132,665 ","$8,757,091 ","$375,574 "
New York,2016,"$203,361,996 ","$9,321,470 ","$8,903,160 ","$418,311 "
New York,2017,"$223,729,226 ","$9,516,021 ","$9,097,028 ","$418,993 "
Pennsylvania,1977,"$34,012,135 ","$1,546,974 ","$1,520,286 ","$26,688 "
Pennsylvania,1978,"$34,655,987 ","$1,574,851 ","$1,550,343 ","$24,508 "
Pennsylvania,1979,"$35,055,334 ","$1,518,599 ","$1,483,898 ","$34,702 "
Pennsylvania,1980,"$34,746,307 ","$1,432,503 ","$1,394,429 ","$38,074 "
Pennsylvania,1981,"$34,195,483 ","$1,356,244 ","$1,326,210 ","$30,035 "
Pennsylvania,1982,"$34,734,512 ","$1,399,102 ","$1,364,821 ","$34,281 "
Pennsylvania,1983,"$35,962,335 ","$1,417,773 ","$1,392,434 ","$25,339 "
Pennsylvania,1984,"$36,926,693 ","$1,413,127 ","$1,387,754 ","$25,373 "
Pennsylvania,1985,"$38,167,970 ","$1,435,553 ","$1,405,642 ","$29,911 "
Pennsylvania,1986,"$39,906,786 ","$1,470,541 ","$1,438,790 ","$31,752 "
Pennsylvania,1987,"$41,666,253 ","$1,496,863 ","$1,468,457 ","$28,407 "
Pennsylvania,1988,"$41,851,942 ","$1,472,291 ","$1,442,760 ","$29,530 "
Pennsylvania,1989,"$42,429,728 ","$1,466,286 ","$1,435,019 ","$31,267 "
Pennsylvania,1990,"$44,925,571 ","$1,502,166 ","$1,460,938 ","$41,228 "
Pennsylvania,1991,"$43,254,575 ","$1,574,973 ","$1,530,789 ","$44,185 "
Pennsylvania,1992,"$44,422,600 ","$1,646,815 ","$1,609,385 ","$37,430 "
Pennsylvania,1993,"$47,916,449 ","$1,629,392 ","$1,586,530 ","$42,861 "
Pennsylvania,1994,"$47,027,221 ","$1,672,615 ","$1,636,770 ","$35,845 "
Pennsylvania,1995,"$47,512,054 ","$1,690,870 ","$1,651,599 ","$39,271 "
Pennsylvania,1996,"$49,210,297 ","$1,744,430 ","$1,680,111 ","$64,319 "
Pennsylvania,1997,"$50,748,165 ","$1,836,770 ","$1,784,093 ","$52,677 "
Pennsylvania,1998,"$53,615,131 ","$1,925,660 ","$1,840,540 ","$85,120 "
Pennsylvania,1999,"$54,820,713 ","$1,986,731 ","$1,895,850 ","$90,881 "
Pennsylvania,2000,"$54,763,826 ","$2,056,342 ","$1,985,044 ","$71,298 "
Pennsylvania,2002,"$55,337,937 ","$2,117,771 ","$2,049,412 ","$68,360 "
Pennsylvania,2004,"$62,905,077 ","$2,252,422 ","$2,187,449 ","$64,973 "
Pennsylvania,2005,"$64,080,013 ","$2,237,257 ","$2,194,969 ","$42,288 "
Pennsylvania,2006,"$65,237,184 ","$2,282,208 ","$2,216,646 ","$65,562 "
Pennsylvania,2007,"$68,238,500 ","$2,312,015 ","$2,256,428 ","$55,587 "
Pennsylvania,2008,"$66,239,525 ","$2,368,254 ","$2,301,660 ","$66,595 "
Pennsylvania,2009,"$63,031,702 ","$2,626,267 ","$2,575,293 ","$50,974 "
Pennsylvania,2010,"$70,576,449 ","$2,633,440 ","$2,570,757 ","$62,683 "
Pennsylvania,2011,"$68,858,436 ","$2,546,630 ","$2,489,360 ","$57,270 "
Pennsylvania,2012,"$66,400,802 ","$2,533,896 ","$2,475,030 ","$58,866 "
Pennsylvania,2013,"$66,610,970 ","$2,548,369 ","$2,487,720 ","$60,648 "
Pennsylvania,2014,"$68,096,890 ","$2,689,108 ","$2,636,116 ","$52,993 "
Pennsylvania,2015,"$67,262,382 ","$2,766,120 ","$2,700,090 ","$66,031 "
Pennsylvania,2016,"$67,718,255 ","$2,767,169 ","$2,704,054 ","$63,115 "
Pennsylvania,2017,"$70,225,254 ","$2,786,412 ","$2,717,163 ","$69,249 "
Rhode Island,1977,"$2,305,859 ","$130,007 ","$125,238 ","$4,769 "
Rhode Island,1978,"$2,364,581 ","$141,260 ","$133,184 ","$8,075 "
Rhode Island,1979,"$2,357,865 ","$133,665 ","$128,843 ","$4,821 "
Rhode Island,1980,"$2,149,476 ","$133,442 ","$129,860 ","$3,582 "
Rhode Island,1981,"$2,135,807 ","$133,007 ","$130,102 ","$2,904 "
Rhode Island,1982,"$2,208,331 ","$142,868 ","$139,647 ","$3,221 "
Rhode Island,1983,"$2,329,405 ","$146,587 ","$144,170 ","$2,417 "
Rhode Island,1984,"$2,383,569 ","$154,577 ","$148,950 ","$5,627 "
Rhode Island,1985,"$2,388,125 ","$159,490 ","$153,093 ","$6,397 "
Rhode Island,1986,"$2,502,154 ","$171,606 ","$168,032 ","$3,574 "
Rhode Island,1987,"$2,517,251 ","$174,128 ","$172,307 ","$1,821 "
Rhode Island,1988,"$2,654,542 ","$181,300 ","$179,907 ","$1,392 "
Rhode Island,1989,"$2,685,616 ","$181,258 ","$179,444 ","$1,815 "
Rhode Island,1990,"$2,798,550 ","$191,694 ","$184,630 ","$7,065 "
Rhode Island,1991,"$2,921,724 ","$196,238 ","$193,341 ","$2,898 "
Rhode Island,1992,"$3,088,846 ","$213,153 ","$210,559 ","$2,594 "
Rhode Island,1993,"$2,885,783 ","$185,869 ","$184,581 ","$1,288 "
Rhode Island,1994,"$3,245,003 ","$200,929 ","$198,640 ","$2,289 "
Rhode Island,1995,"$3,253,302 ","$205,756 ","$203,007 ","$2,749 "
Rhode Island,1996,"$3,286,120 ","$211,336 ","$206,752 ","$4,584 "
Rhode Island,1997,"$3,490,846 ","$218,270 ","$213,355 ","$4,915 "
Rhode Island,1998,"$3,503,384 ","$223,082 ","$216,406 ","$6,675 "
Rhode Island,1999,"$3,536,987 ","$229,376 ","$226,005 ","$3,371 "
Rhode Island,2000,"$3,538,716 ","$249,157 ","$226,571 ","$22,586 "
Rhode Island,2002,"$3,919,384 ","$260,672 ","$257,218 ","$3,454 "
Rhode Island,2004,"$4,539,417 ","$304,485 ","$298,500 ","$5,985 "
Rhode Island,2005,"$4,501,722 ","$299,403 ","$296,529 ","$2,874 "
Rhode Island,2006,"$4,635,792 ","$281,171 ","$274,053 ","$7,118 "
Rhode Island,2007,"$4,824,093 ","$315,962 ","$304,954 ","$11,009 "
Rhode Island,2008,"$4,658,516 ","$295,615 ","$286,655 ","$8,960 "
Rhode Island,2009,"$4,527,993 ","$300,827 ","$294,574 ","$6,253 "
Rhode Island,2010,"$4,792,833 ","$326,893 ","$321,142 ","$5,751 "
Rhode Island,2011,"$4,816,338 ","$311,779 ","$310,318 ","$1,461 "
Rhode Island,2012,"$4,665,642 ","$307,136 ","$305,360 ","$1,777 "
Rhode Island,2013,"$4,816,664 ","$307,836 ","$305,941 ","$1,895 "
Rhode Island,2014,"$4,822,431 ","$325,255 ","$320,053 ","$5,202 "
Rhode Island,2015,"$4,856,018 ","$342,138 ","$335,896 ","$6,242 "
Rhode Island,2016,"$4,923,207 ","$361,898 ","$353,105 ","$8,792 "
Rhode Island,2017,"$5,002,294 ","$361,112 ","$351,757 ","$9,355 "
Vermont,1977,"$1,161,218 ","$32,610 ","$31,700 ",$910 
Vermont,1978,"$1,190,076 ","$27,493 ","$26,459 ","$1,034 "
Vermont,1979,"$1,134,379 ","$29,465 ","$28,587 ",$878 
Vermont,1980,"$1,083,130 ","$29,046 ","$27,915 ","$1,130 "
Vermont,1981,"$1,063,052 ","$30,183 ","$29,064 ","$1,119 "
Vermont,1982,"$1,108,618 ","$32,630 ","$30,949 ","$1,682 "
Vermont,1983,"$1,109,894 ","$34,735 ","$32,825 ","$1,910 "
Vermont,1984,"$1,197,143 ","$35,886 ","$33,649 ","$2,237 "
Vermont,1985,"$1,256,821 ","$35,973 ","$34,340 ","$1,633 "
Vermont,1986,"$1,334,690 ","$38,633 ","$37,446 ","$1,188 "
Vermont,1987,"$1,626,268 ","$40,920 ","$39,513 ","$1,407 "
Vermont,1988,"$1,667,523 ","$42,120 ","$40,779 ","$1,341 "
Vermont,1989,"$1,676,664 ","$45,950 ","$42,609 ","$3,341 "
